"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","viewingHint","Visibility","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Title","AltTitle.other","Alt ID.local","Subject topic","Date.creation","Description.note","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00152n80/0h08v94n","ark:/21198/zz00152n80","","","Page","miscmancoll100/masters/21198-zz00152n80-1-master.tif","1","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152n80%2F0h08v94n"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00152n80/px56qd65","ark:/21198/zz00152n80","","","Page","miscmancoll100/masters/21198-zz00152n80-2-master.tif","2","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152n80%2Fpx56qd65"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153gxv/0b658x12","ark:/21198/zz00153gxv","","","Page","miscmancoll100/masters/21198-zz00153gxv-1-master.tif","1","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gxv%2F0b658x12"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153gxv/5j20s48c","ark:/21198/zz00153gxv","","","Page","miscmancoll100/masters/21198-zz00153gxv-2-master.tif","2","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gxv%2F5j20s48c"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153gzc/h049j237","ark:/21198/zz00153gzc","","","Page","miscmancoll100/masters/21198-zz00153gzc-1-master.tif","1","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gzc%2Fh049j237"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153gzc/wn33pz8h","ark:/21198/zz00153gzc","","","Page","miscmancoll100/masters/21198-zz00153gzc-2-master.tif","2","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gzc%2Fwn33pz8h"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153h0c/mn10cd6b","ark:/21198/zz00153h0c","","","Page","miscmancoll100/masters/21198-zz00153h0c-3-master.tif","3","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153h0c%2Fmn10cd6b"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153h0c/sz14jj1t","ark:/21198/zz00153h0c","","","Page","miscmancoll100/masters/21198-zz00153h0c-2-master.tif","2","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153h0c%2Fsz14jj1t"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153h0c/x880nv9d","ark:/21198/zz00153h0c","","","Page","miscmancoll100/masters/21198-zz00153h0c-1-master.tif","1","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153h0c%2Fx880nv9d"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz0015xqx0/9r09tm3q","ark:/21198/zz0015xqx0","","","Page","miscmancoll100/masters/21198-zz0015xqx0-2-master.tif","2","","","","","","","Page 2","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015xqx0%2F9r09tm3q"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz0015xqx0/fg932k7h","ark:/21198/zz0015xqx0","","","Page","miscmancoll100/masters/21198-zz0015xqx0-1-master.tif","1","","","","","","","Page 1","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015xqx0%2Ffg932k7h"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz0015xqx0/rz54b457","ark:/21198/zz0015xqx0","","","Page","miscmancoll100/masters/21198-zz0015xqx0-3-master.tif","3","","","","","","","Page 3","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015xqx0%2Frz54b457"
