Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Visibility,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Title,AltTitle.other,Alt ID.local,Subject topic,Date.creation,Description.note,Opac url,Finding Aid URL
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz0014sd52,,2,Completed,Collection,,,,,,,,still image,"Miscellaneous Manuscripts Collection, circa 1750-2017",Misc. Manuscripts Collection. Collection 100,Collection 100,manuscripts (documents)|~|correspondence.|~|Correspondence.,circa 1750-2017,"Collection consists of miscellaneous 18th, 19th, and 20th century manuscript materials, typewritten transcripts, holographs, and facsimiles. Includes literary manuscripts, correspondence, letters, diaries, scripts, legal documents, photographs, and audio tapes related to various prominent literary, political, and intellectual figures. ",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233439,https://oac.cdlib.org/findaid/ark:/13030/tf829008pt/
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00152n80,ark:/21198/zz0014sd52,2,Completed,Work,,,paged,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00152n80%2F0h08v94n,,"Edgeworth, Richard Lovell ALS to ""Sir""",,,,"January 12, 1815","Regarding possible visit of Madame de Stael to Edgeworthstown, Ireland.",,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153gxv,ark:/21198/zz0014sd52,2,Completed,Work,,,paged,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gxv%2F0b658x12,,"Edgeworth, Richard Lovell ALS to ""My Dear Madam""",,,,"February 19, 1817",,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153gzc,ark:/21198/zz0014sd52,2,Completed,Work,,,paged,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153gzc%2Fh049j237,,"Edgeworth, Richard Lovell ALS to ""My Dear Sir""",,,,"June 6, 1817",,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153h0c,ark:/21198/zz0014sd52,2,Completed,Work,,,paged,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00153h0c%2Fx880nv9d,,"Edgeworth, Richard Lovell ALS to Thomas Edgeworth",,,,"September 10, 1798",,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz0015xqx0,ark:/21198/zz0014sd52,1,In progress,Work,,,paged,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015xqx0%2Ffg932k7h,text,"Smith, J. A. ALS to ""Sir""",,,,"April 21, 1814",,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00152n80/0h08v94n,ark:/21198/zz00152n80,,,Page,miscmancoll100/masters/21198-zz00152n80-1-master.tif,1,,,,,,,Page 1,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00152n80/px56qd65,ark:/21198/zz00152n80,,,Page,miscmancoll100/masters/21198-zz00152n80-2-master.tif,2,,,,,,,Page 2,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153gxv/0b658x12,ark:/21198/zz00153gxv,,,Page,miscmancoll100/masters/21198-zz00153gxv-1-master.tif,1,,,,,,,Page 1,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153gxv/5j20s48c,ark:/21198/zz00153gxv,,,Page,miscmancoll100/masters/21198-zz00153gxv-2-master.tif,2,,,,,,,Page 2,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153gzc/h049j237,ark:/21198/zz00153gzc,,,Page,miscmancoll100/masters/21198-zz00153gzc-1-master.tif,1,,,,,,,Page 1,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153gzc/wn33pz8h,ark:/21198/zz00153gzc,,,Page,miscmancoll100/masters/21198-zz00153gzc-2-master.tif,2,,,,,,,Page 2,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153h0c/mn10cd6b,ark:/21198/zz00153h0c,,,Page,miscmancoll100/masters/21198-zz00153h0c-3-master.tif,3,,,,,,,Page 3,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153h0c/sz14jj1t,ark:/21198/zz00153h0c,,,Page,miscmancoll100/masters/21198-zz00153h0c-2-master.tif,2,,,,,,,Page 2,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz00153h0c/x880nv9d,ark:/21198/zz00153h0c,,,Page,miscmancoll100/masters/21198-zz00153h0c-1-master.tif,1,,,,,,,Page 1,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz0015xqx0/9r09tm3q,ark:/21198/zz0015xqx0,,,Page,miscmancoll100/masters/21198-zz0015xqx0-2-master.tif,2,,,,,,,Page 2,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz0015xqx0/fg932k7h,ark:/21198/zz0015xqx0,,,Page,miscmancoll100/masters/21198-zz0015xqx0-1-master.tif,1,,,,,,,Page 1,,,,,,,
Misc. Manuscripts Collection. Collection 100,ark:/21198/zz0015xqx0/rz54b457,ark:/21198/zz0015xqx0,,,Page,miscmancoll100/masters/21198-zz0015xqx0-3-master.tif,3,,,,,,,Page 3,,,,,,,
