"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.58: 0025","Armenian Manuscripts","ark:/21198/zz002bcc94","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcc94_2002388_master.tif","1","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcc94",""
"Manuscript No.58: 0026","Armenian Manuscripts","ark:/21198/zz002bccbn","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccbn_2002391_master.tif","2","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccbn",""
"Manuscript No.58: 0027","Armenian Manuscripts","ark:/21198/zz002bccc5","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccc5_2002394_master.tif","3","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccc5",""
"Manuscript No.58: 0028","Armenian Manuscripts","ark:/21198/zz002bccdp","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccdp_2002397_master.tif","4","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccdp",""
"Manuscript No.58: 0029","Armenian Manuscripts","ark:/21198/zz002bccf6","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccf6_2002400_master.tif","5","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccf6",""
"Manuscript No.58: 0030","Armenian Manuscripts","ark:/21198/zz002bccgq","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccgq_2002403_master.tif","6","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccgq",""
"Manuscript No.58: 0031","Armenian Manuscripts","ark:/21198/zz002bcch7","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcch7_2002406_master.tif","7","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcch7",""
"Manuscript No.58: 0032","Armenian Manuscripts","ark:/21198/zz002bccjr","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccjr_2002409_master.tif","8","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccjr",""
"Manuscript No.58: 0033","Armenian Manuscripts","ark:/21198/zz002bcck8","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcck8_2002412_master.tif","9","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcck8",""
"Manuscript No.58: 0034","Armenian Manuscripts","ark:/21198/zz002bccms","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccms_2002415_master.tif","10","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccms",""
"Manuscript No.58: 0035","Armenian Manuscripts","ark:/21198/zz002bccn9","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccn9_2002418_master.tif","11","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccn9",""
"Manuscript No.58: 0036","Armenian Manuscripts","ark:/21198/zz002bccpt","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccpt_2002421_master.tif","12","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccpt",""
"Manuscript No.58: 0037","Armenian Manuscripts","ark:/21198/zz002bccqb","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccqb_2002424_master.tif","13","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccqb",""
"Manuscript No.58: 0038","Armenian Manuscripts","ark:/21198/zz002bccrv","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccrv_2002427_master.tif","14","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccrv",""
"Manuscript No.58: 0039","Armenian Manuscripts","ark:/21198/zz002bccsc","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccsc_2002430_master.tif","15","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccsc",""
"Manuscript No.58: 0040","Armenian Manuscripts","ark:/21198/zz002bcctw","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcctw_2002433_master.tif","16","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcctw",""
"Manuscript No.58: 0041","Armenian Manuscripts","ark:/21198/zz002bccvd","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccvd_2002436_master.tif","17","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccvd",""
"Manuscript No.58: 0042","Armenian Manuscripts","ark:/21198/zz002bccwx","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccwx_2002439_master.tif","18","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccwx",""
"Manuscript No.58: 0043","Armenian Manuscripts","ark:/21198/zz002bccxf","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bccxf_2002442_master.tif","19","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bccxf",""
"Manuscript No.58: 0044","Armenian Manuscripts","ark:/21198/zz002bcczz","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcczz_2002445_master.tif","20","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcczz",""
"Manuscript No.58: 0045","Armenian Manuscripts","ark:/21198/zz002bcd0z","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcd0z_2002448_master.tif","21","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcd0z",""
"Manuscript No.58: 0046","Armenian Manuscripts","ark:/21198/zz002bcd1g","ark:/21198/zz002bcc8m","Page","","armenian/masters/21198-zz002bcd1g_2002451_master.tif","22","text","","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bcd1g",""
