"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.50: 0001","Armenian Manuscripts","ark:/21198/zz002gzrzj","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0001.tif","1","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzrzj",""
"Manuscript No.50: 0002","Armenian Manuscripts","ark:/21198/zz002gzs0j","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0002.tif","2","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs0j",""
"Manuscript No.50: 0003","Armenian Manuscripts","ark:/21198/zz002gzs12","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0003.tif","3","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs12",""
"Manuscript No.50: 0004","Armenian Manuscripts","ark:/21198/zz002gzs2k","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0004.tif","4","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs2k",""
"Manuscript No.50: 0005","Armenian Manuscripts","ark:/21198/zz002gzs33","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0005.tif","5","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs33",""
"Manuscript No.50: 0006","Armenian Manuscripts","ark:/21198/zz002gzs4m","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0006.tif","6","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs4m",""
"Manuscript No.50: 0007","Armenian Manuscripts","ark:/21198/zz002gzs54","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0007.tif","7","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs54",""
"Manuscript No.50: 0008","Armenian Manuscripts","ark:/21198/zz002gzs6n","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0008.tif","8","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs6n",""
"Manuscript No.50: 0009","Armenian Manuscripts","ark:/21198/zz002gzs75","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0009.tif","9","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs75",""
"Manuscript No.50: 0010","Armenian Manuscripts","ark:/21198/zz002gzs8p","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0010.tif","10","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs8p",""
"Manuscript No.50: 0011","Armenian Manuscripts","ark:/21198/zz002gzs96","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0011.tif","11","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzs96",""
"Manuscript No.50: 0012","Armenian Manuscripts","ark:/21198/zz002gzsbq","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0012.tif","12","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsbq",""
"Manuscript No.50: 0013","Armenian Manuscripts","ark:/21198/zz002gzsc7","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0013.tif","13","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsc7",""
"Manuscript No.50: 0014","Armenian Manuscripts","ark:/21198/zz002gzsdr","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0014.tif","14","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsdr",""
"Manuscript No.50: 0015","Armenian Manuscripts","ark:/21198/zz002gzsf8","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0015.tif","15","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsf8",""
"Manuscript No.50: 0016","Armenian Manuscripts","ark:/21198/zz002gzsgs","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0016.tif","16","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsgs",""
"Manuscript No.50: 0017","Armenian Manuscripts","ark:/21198/zz002gzsh9","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0017.tif","17","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsh9",""
"Manuscript No.50: 0018","Armenian Manuscripts","ark:/21198/zz002gzsjt","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0018.tif","18","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsjt",""
"Manuscript No.50: 0019","Armenian Manuscripts","ark:/21198/zz002gzskb","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0019.tif","19","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzskb",""
"Manuscript No.50: 0020","Armenian Manuscripts","ark:/21198/zz002gzsmv","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0020.tif","20","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsmv",""
"Manuscript No.50: 0021","Armenian Manuscripts","ark:/21198/zz002gzsnc","ark:/21198/zz002gxc7x","Page","","armenian/masters/ms_50/ms_50_0021.tif","21","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gzsnc",""
