"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 29: outside front board","Armenian Manuscripts","ark:/21198/zz001dzrt8","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dzrt8_1270562_master.tif","1","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzrt8",""
"Manuscript No. 29: inside front board","Armenian Manuscripts","ark:/21198/zz001dzrr7","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dzrr7_1270556_master.tif","2","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzrr7",""
"Manuscript No. 29: page 1a","Armenian Manuscripts","ark:/21198/zz001dxwk4","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwk4_1268159_master.tif","3","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwk4",""
"Manuscript No. 29: page 1b","Armenian Manuscripts","ark:/21198/zz001dxwmn","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwmn_1268162_master.tif","4","text","Inscription by Gēorg asking to be remembered by the reader, dated January 6, 1243 of the Armenian era. This date is likely an error. (See Sanjian, p. 158.)","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwmn",""
"Manuscript No. 29: page 2a","Armenian Manuscripts","ark:/21198/zz001dxwn5","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwn5_1268165_master.tif","5","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwn5",""
"Manuscript No. 29: page 2b","Armenian Manuscripts","ark:/21198/zz001dxwpp","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwpp_1268168_master.tif","6","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwpp",""
"Manuscript No. 29: page 3a","Armenian Manuscripts","ark:/21198/zz001dxwq6","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwq6_1268171_master.tif","7","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwq6",""
"Manuscript No. 29: page 3b","Armenian Manuscripts","ark:/21198/zz001dxwrq","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwrq_1268174_master.tif","8","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwrq",""
"Manuscript No. 29: page 4a","Armenian Manuscripts","ark:/21198/zz001dxws7","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxws7_1268177_master.tif","9","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxws7",""
"Manuscript No. 29: page 4b","Armenian Manuscripts","ark:/21198/zz001dxwtr","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwtr_1268180_master.tif","10","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwtr",""
"Manuscript No. 29: page 5a","Armenian Manuscripts","ark:/21198/zz001dxwv8","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwv8_1268183_master.tif","11","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwv8",""
"Manuscript No. 29: page 5b","Armenian Manuscripts","ark:/21198/zz001dxwws","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwws_1268186_master.tif","12","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwws",""
"Manuscript No. 29: page 6a","Armenian Manuscripts","ark:/21198/zz001dxwx9","ark:/21198/zz001dxwjm","Page","","armenian/masters/21198-zz001dxwx9_1268189_master.tif","13","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dxwx9",""
