"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 2: page 1","Armenian Manuscripts","ark:/21198/zz0025djzr","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025djzr_1684836_master.tif","1","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025djzr",""
"Manuscript No. 2: page 2","Armenian Manuscripts","ark:/21198/zz0025dk0r","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk0r_1684839_master.tif","2","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk0r",""
"Manuscript No. 2: page 3","Armenian Manuscripts","ark:/21198/zz0025dk18","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk18_1684842_master.tif","3","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk18",""
"Manuscript No. 2: page 4","Armenian Manuscripts","ark:/21198/zz0025dk2s","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk2s_1684845_master.tif","4","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk2s",""
"Manuscript No. 2: page 5","Armenian Manuscripts","ark:/21198/zz0025dk39","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk39_1684848_master.tif","5","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk39",""
"Manuscript No. 2: page 6","Armenian Manuscripts","ark:/21198/zz0025dk4t","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk4t_1684851_master.tif","6","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk4t",""
"Manuscript No. 2: page 7","Armenian Manuscripts","ark:/21198/zz0025dk5b","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk5b_1684854_master.tif","7","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk5b",""
"Manuscript No. 2: page 8","Armenian Manuscripts","ark:/21198/zz0025dk6v","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk6v_1684858_master.tif","8","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk6v",""
"Manuscript No. 2: page 9","Armenian Manuscripts","ark:/21198/zz0025dk7c","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk7c_1684863_master.tif","9","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk7c",""
"Manuscript No. 2: page 10","Armenian Manuscripts","ark:/21198/zz0025dk8w","ark:/21198/zz0025djx7","Page","","armenian/masters/21198-zz0025dk8w_1685081_master.tif","10","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dk8w",""
