"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 9: page 24","Armenian Manuscripts","ark:/21198/zz00275v6d","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_024.tif","24","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275v6d",""
"Manuscript No. 9: page 25","Armenian Manuscripts","ark:/21198/zz00275v7x","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_025.tif","25","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275v7x",""
"Manuscript No. 9: page 26","Armenian Manuscripts","ark:/21198/zz00275v8f","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_026.tif","26","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275v8f",""
"Manuscript No. 9: page 27","Armenian Manuscripts","ark:/21198/zz00275v9z","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_027.tif","27","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275v9z",""
"Manuscript No. 9: page 28","Armenian Manuscripts","ark:/21198/zz00275vbg","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_028.tif","28","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vbg",""
"Manuscript No. 9: page 29","Armenian Manuscripts","ark:/21198/zz00275vc0","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_029.tif","29","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vc0",""
"Manuscript No. 9: page 30","Armenian Manuscripts","ark:/21198/zz00275vdh","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_030.tif","30","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vdh",""
"Manuscript No. 9: page 31","Armenian Manuscripts","ark:/21198/zz00275vf1","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_031.tif","31","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vf1",""
"Manuscript No. 9: page 32","Armenian Manuscripts","ark:/21198/zz00275vgj","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_032.tif","32","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vgj",""
"Manuscript No. 9: page 33","Armenian Manuscripts","ark:/21198/zz00275vh2","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_033.tif","33","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vh2",""
"Manuscript No. 9: page 34","Armenian Manuscripts","ark:/21198/zz00275vjk","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_034.tif","34","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vjk",""
"Manuscript No. 9: page 35","Armenian Manuscripts","ark:/21198/zz00275vk3","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_035.tif","35","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vk3",""
"Manuscript No. 9: page 36","Armenian Manuscripts","ark:/21198/zz00275vmm","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_036.tif","36","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vmm",""
"Manuscript No. 9: page 37","Armenian Manuscripts","ark:/21198/zz00275vn4","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_037.tif","37","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vn4",""
"Manuscript No. 9: page 38","Armenian Manuscripts","ark:/21198/zz00275vpn","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_038.tif","38","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vpn",""
"Manuscript No. 9: page 39","Armenian Manuscripts","ark:/21198/zz00275vq5","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_039.tif","39","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vq5",""
"Manuscript No. 9: page 40","Armenian Manuscripts","ark:/21198/zz00275vrp","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_040.tif","40","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vrp",""
"Manuscript No. 9: page 41","Armenian Manuscripts","ark:/21198/zz00275vs6","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_041.tif","41","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vs6",""
"Manuscript No. 9: page 42","Armenian Manuscripts","ark:/21198/zz00275vtq","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_042.tif","42","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275vtq",""
