"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 7: page 1","Armenian Manuscripts","ark:/21198/zz0026zfrs","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_001.tif","1","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zfrs",""
"Manuscript No. 7: page 2","Armenian Manuscripts","ark:/21198/zz0026zfs9","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_002.tif","2","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zfs9",""
"Manuscript No. 7: page 3","Armenian Manuscripts","ark:/21198/zz0026zftt","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_003.tif","3","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zftt",""
"Manuscript No. 7: page 4","Armenian Manuscripts","ark:/21198/zz0026zfvb","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_004.tif","4","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zfvb",""
"Manuscript No. 7: page 5","Armenian Manuscripts","ark:/21198/zz0026zfwv","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_005.tif","5","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zfwv",""
"Manuscript No. 7: page 6","Armenian Manuscripts","ark:/21198/zz0026zfxc","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_006.tif","6","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zfxc",""
"Manuscript No. 7: page 7","Armenian Manuscripts","ark:/21198/zz0026zfzw","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_007.tif","7","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zfzw",""
"Manuscript No. 7: page 8","Armenian Manuscripts","ark:/21198/zz0026zg0w","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_008.tif","8","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg0w",""
"Manuscript No. 7: page 9","Armenian Manuscripts","ark:/21198/zz0026zg1d","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_009.tif","9","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg1d",""
"Manuscript No. 7: page 10","Armenian Manuscripts","ark:/21198/zz0026zg2x","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_010.tif","10","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg2x",""
"Manuscript No. 7: page 11","Armenian Manuscripts","ark:/21198/zz0026zg3f","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_011.tif","11","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg3f",""
"Manuscript No. 7: page 12","Armenian Manuscripts","ark:/21198/zz0026zg4z","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_012.tif","12","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg4z",""
"Manuscript No. 7: page 13","Armenian Manuscripts","ark:/21198/zz0026zg5g","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_013.tif","13","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg5g",""
"Manuscript No. 7: page 14","Armenian Manuscripts","ark:/21198/zz0026zg60","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_014.tif","14","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg60",""
"Manuscript No. 7: page 15","Armenian Manuscripts","ark:/21198/zz0026zg7h","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_015.tif","15","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg7h",""
"Manuscript No. 7: page 16","Armenian Manuscripts","ark:/21198/zz0026zg81","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_016.tif","16","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg81",""
"Manuscript No. 7: page 17","Armenian Manuscripts","ark:/21198/zz0026zg9j","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_017.tif","17","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zg9j",""
"Manuscript No. 7: page 18","Armenian Manuscripts","ark:/21198/zz0026zgb2","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_018.tif","18","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zgb2",""
"Manuscript No. 7: page 19","Armenian Manuscripts","ark:/21198/zz0026zgck","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_019.tif","19","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zgck",""
"Manuscript No. 7: page 20","Armenian Manuscripts","ark:/21198/zz0026zgd3","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_020.tif","20","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zgd3",""
"Manuscript No. 7: page 21","Armenian Manuscripts","ark:/21198/zz0026zgfm","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_021.tif","21","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zgfm",""
"Manuscript No. 7: page 22","Armenian Manuscripts","ark:/21198/zz0026zgg4","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_022.tif","22","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zgg4",""
"Manuscript No. 7: page 23","Armenian Manuscripts","ark:/21198/zz0026zghn","ark:/21198/zz0025q165","Page","","armenian/masters/ms_7/ms_7_023.tif","23","text","","pd","arm","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026zghn",""
