"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 76: page 1a","Armenian Manuscripts","ark:/21198/zz001gqf8b","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqf8b_1272561_master.tif","1","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqf8b",""
"Manuscript No. 76: page 1b","Armenian Manuscripts","ark:/21198/zz001gqf9v","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqf9v_1272564_master.tif","2","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqf9v",""
"Manuscript No. 76: page 2a","Armenian Manuscripts","ark:/21198/zz001gqfbc","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfbc_1272567_master.tif","3","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfbc",""
"Manuscript No. 76: page 2b","Armenian Manuscripts","ark:/21198/zz001gqfcw","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfcw_1272570_master.tif","4","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfcw",""
"Manuscript No. 76: page 3a","Armenian Manuscripts","ark:/21198/zz001gqfdd","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfdd_1272573_master.tif","5","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfdd",""
"Manuscript No. 76: page 3b","Armenian Manuscripts","ark:/21198/zz001gqffx","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqffx_1272576_master.tif","6","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqffx",""
"Manuscript No. 76: page 4a","Armenian Manuscripts","ark:/21198/zz001gqfgf","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfgf_1272579_master.tif","7","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfgf",""
"Manuscript No. 76: page 4b","Armenian Manuscripts","ark:/21198/zz001gqfhz","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfhz_1272582_master.tif","8","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfhz",""
"Manuscript No. 76: page 5a","Armenian Manuscripts","ark:/21198/zz001gqfjg","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfjg_1272585_master.tif","9","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfjg",""
"Manuscript No. 76: page 5b","Armenian Manuscripts","ark:/21198/zz001gqfk0","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfk0_1272588_master.tif","10","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfk0",""
"Manuscript No. 76: page 6a","Armenian Manuscripts","ark:/21198/zz001gqfmh","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfmh_1272591_master.tif","11","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfmh",""
"Manuscript No. 76: page 6b","Armenian Manuscripts","ark:/21198/zz001gqfn1","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfn1_1272594_master.tif","12","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfn1",""
"Manuscript No. 76: page 7a","Armenian Manuscripts","ark:/21198/zz001gqfpj","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfpj_1272597_master.tif","13","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfpj",""
"Manuscript No. 76: page 7b","Armenian Manuscripts","ark:/21198/zz001gqfq2","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfq2_1272601_master.tif","14","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfq2",""
"Manuscript No. 76: page 8a","Armenian Manuscripts","ark:/21198/zz001gqfrk","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfrk_1272606_master.tif","15","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfrk",""
"Manuscript No. 76: page 8b","Armenian Manuscripts","ark:/21198/zz001gqfs3","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfs3_1272609_master.tif","16","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfs3",""
"Manuscript No. 76: page 9a","Armenian Manuscripts","ark:/21198/zz001gqftm","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqftm_1272612_master.tif","17","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqftm",""
"Manuscript No. 76: page 9b","Armenian Manuscripts","ark:/21198/zz001gqfv4","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfv4_1272615_master.tif","18","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfv4",""
"Manuscript No. 76: page 10a","Armenian Manuscripts","ark:/21198/zz001gqfwn","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfwn_1272618_master.tif","19","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfwn",""
"Manuscript No. 76: page 10b","Armenian Manuscripts","ark:/21198/zz001gqfx5","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfx5_1272621_master.tif","20","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfx5",""
"Manuscript No. 76: page 11a","Armenian Manuscripts","ark:/21198/zz001gqfzp","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqfzp_1272624_master.tif","21","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqfzp",""
"Manuscript No. 76: page 11b","Armenian Manuscripts","ark:/21198/zz001gqg0p","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg0p_1272627_master.tif","22","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg0p",""
"Manuscript No. 76: page 12a","Armenian Manuscripts","ark:/21198/zz001gqg16","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg16_1272630_master.tif","23","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg16",""
"Manuscript No. 76: page 12b","Armenian Manuscripts","ark:/21198/zz001gqg2q","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg2q_1272633_master.tif","24","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg2q",""
"Manuscript No. 76: page 13a","Armenian Manuscripts","ark:/21198/zz001gqg37","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg37_1272636_master.tif","25","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg37",""
"Manuscript No. 76: page 13b","Armenian Manuscripts","ark:/21198/zz001gqg4r","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg4r_1272639_master.tif","26","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg4r",""
"Manuscript No. 76: page 14a","Armenian Manuscripts","ark:/21198/zz001gqg58","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg58_1272642_master.tif","27","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg58",""
"Manuscript No. 76: page 14b","Armenian Manuscripts","ark:/21198/zz001gqg6s","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg6s_1272645_master.tif","28","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg6s",""
"Manuscript No. 76: page 15a","Armenian Manuscripts","ark:/21198/zz001gqg79","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg79_1272648_master.tif","29","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg79",""
"Manuscript No. 76: page 15b","Armenian Manuscripts","ark:/21198/zz001gqg8t","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqg8t_1272651_master.tif","30","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqg8t",""
"Manuscript No. 76: page 16a","Armenian Manuscripts","ark:/21198/zz001gqq1k","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq1k_1273170_master.tif","31","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq1k",""
"Manuscript No. 76: page 16b","Armenian Manuscripts","ark:/21198/zz001gqq23","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq23_1273178_master.tif","32","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq23",""
"Manuscript No. 76: page 17a","Armenian Manuscripts","ark:/21198/zz001gqq3m","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq3m_1273186_master.tif","33","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq3m",""
"Manuscript No. 76: page 17b","Armenian Manuscripts","ark:/21198/zz001gqq44","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq44_1273191_master.tif","34","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq44",""
"Manuscript No. 76: page 18a","Armenian Manuscripts","ark:/21198/zz001gqq5n","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq5n_1273198_master.tif","35","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq5n",""
"Manuscript No. 76: page 18b","Armenian Manuscripts","ark:/21198/zz001gqq65","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq65_1273204_master.tif","36","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq65",""
"Manuscript No. 76: page 19a","Armenian Manuscripts","ark:/21198/zz001gqq7p","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq7p_1273208_master.tif","37","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq7p",""
"Manuscript No. 76: page 19b","Armenian Manuscripts","ark:/21198/zz001gqq86","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq86_1273217_master.tif","38","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq86",""
"Manuscript No. 76: page 20a","Armenian Manuscripts","ark:/21198/zz001gqq9q","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqq9q_1273222_master.tif","39","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqq9q",""
"Manuscript No. 76: page 20b","Armenian Manuscripts","ark:/21198/zz001gqqb7","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqqb7_1273229_master.tif","40","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqqb7",""
"Manuscript No. 76: page 21a","Armenian Manuscripts","ark:/21198/zz001gqqcr","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqqcr_1273235_master.tif","41","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqqcr",""
"Manuscript No. 76: page 21b","Armenian Manuscripts","ark:/21198/zz001gqqd8","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqqd8_1273242_master.tif","42","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqqd8",""
"Manuscript No. 76: page 22a","Armenian Manuscripts","ark:/21198/zz001gqqfs","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqqfs_1273249_master.tif","43","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqqfs",""
"Manuscript No. 76: page 22b","Armenian Manuscripts","ark:/21198/zz001gqqg9","ark:/21198/zz001gqf7t","Page","","armenian/masters/21198-zz001gqqg9_1273259_master.tif","44","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gqqg9",""
