Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.genre,Subject,Author,Name.repository,Title,Alt ID.local,Alt ID.oclc,Date.normalized,Format.dimensions,Description.note,Publisher.placeOfOrigin,Date.creation,Format.extent,Publisher.publisherName,Alt ID.callNo,AltTitle.uniform,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Science and Engineering Library Books,ark:/21198/zz002jj9x6,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_011.tif,11,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_011,ucla_oc16856119_011,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jj9x6,
Science and Engineering Library Books,ark:/21198/zz002jj9zq,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_012.tif,12,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_012,ucla_oc16856119_012,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jj9zq,
Science and Engineering Library Books,ark:/21198/zz002jjb0q,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_013.tif,13,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_013,ucla_oc16856119_013,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb0q,
Science and Engineering Library Books,ark:/21198/zz002jjb17,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_014.tif,14,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_014,ucla_oc16856119_014,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb17,
Science and Engineering Library Books,ark:/21198/zz002jjb2r,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_015.tif,15,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_015,ucla_oc16856119_015,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb2r,
Science and Engineering Library Books,ark:/21198/zz002jjb38,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_016.tif,16,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_016,ucla_oc16856119_016,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb38,
Science and Engineering Library Books,ark:/21198/zz002jjb4s,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_017.tif,17,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_017,ucla_oc16856119_017,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb4s,
Science and Engineering Library Books,ark:/21198/zz002jjb59,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_018.tif,18,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_018,ucla_oc16856119_018,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb59,
Science and Engineering Library Books,ark:/21198/zz002jjb6t,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_019.tif,19,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_019,ucla_oc16856119_019,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb6t,
Science and Engineering Library Books,ark:/21198/zz002jjb7b,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_020.tif,20,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_020,ucla_oc16856119_020,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb7b,
Science and Engineering Library Books,ark:/21198/zz002jjb8v,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_021.tif,21,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_021,ucla_oc16856119_021,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb8v,
Science and Engineering Library Books,ark:/21198/zz002jjb9c,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_022.tif,22,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_022,ucla_oc16856119_022,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjb9c,
Science and Engineering Library Books,ark:/21198/zz002jjbbw,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_023.tif,23,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_023,ucla_oc16856119_023,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbbw,
Science and Engineering Library Books,ark:/21198/zz002jjbcd,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_024.tif,24,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_024,ucla_oc16856119_024,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbcd,
Science and Engineering Library Books,ark:/21198/zz002jjbdx,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_025.tif,25,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_025,ucla_oc16856119_025,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbdx,
Science and Engineering Library Books,ark:/21198/zz002jjbff,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_026.tif,26,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_026,ucla_oc16856119_026,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbff,
Science and Engineering Library Books,ark:/21198/zz002jjbgz,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_027.tif,27,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_027,ucla_oc16856119_027,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbgz,
Science and Engineering Library Books,ark:/21198/zz002jjbhg,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_028.tif,28,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_028,ucla_oc16856119_028,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbhg,
Science and Engineering Library Books,ark:/21198/zz002jjbj0,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_029.tif,29,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_029,ucla_oc16856119_029,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbj0,
Science and Engineering Library Books,ark:/21198/zz002jjbkh,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_030.tif,30,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_030,ucla_oc16856119_030,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbkh,
Science and Engineering Library Books,ark:/21198/zz002jjbm1,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_031.tif,31,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_031,ucla_oc16856119_031,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbm1,
Science and Engineering Library Books,ark:/21198/zz002jjbnj,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_032.tif,32,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_032,ucla_oc16856119_032,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbnj,
Science and Engineering Library Books,ark:/21198/zz002jjbp2,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_033.tif,33,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_033,ucla_oc16856119_033,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbp2,
Science and Engineering Library Books,ark:/21198/zz002jjbqk,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_034.tif,34,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_034,ucla_oc16856119_034,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbqk,
Science and Engineering Library Books,ark:/21198/zz002jjbr3,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_035.tif,35,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_035,ucla_oc16856119_035,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbr3,
Science and Engineering Library Books,ark:/21198/zz002jjbsm,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_036.tif,36,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_036,ucla_oc16856119_036,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbsm,
Science and Engineering Library Books,ark:/21198/zz002jjbt4,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_037.tif,37,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_037,ucla_oc16856119_037,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbt4,
Science and Engineering Library Books,ark:/21198/zz002jjbvn,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_038.tif,38,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_038,ucla_oc16856119_038,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbvn,
Science and Engineering Library Books,ark:/21198/zz002jjbw5,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_039.tif,39,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_039,ucla_oc16856119_039,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjbw5,
