"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Rights.rightsHolderContact","Language","Name.subject","Name.repository","Name.creator","Subject","Title","Date.creation","AltTitle.other","Description.note","Date.normalized","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Network Measurement Center Collection","ark:/21198/z19c8hz8","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_001.tif","1","","","","","","","","","","","","","","Page 1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8hz8",""
"Network Measurement Center Collection","ark:/21198/z15m7s8d","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_002.tif","2","","","","","","","","","","","","","","Page 2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7s8d",""
"Network Measurement Center Collection","ark:/21198/z11v71kh","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_003.tif","3","","","","","","","","","","","","","","Page 3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v71kh",""
"Network Measurement Center Collection","ark:/21198/z1x36j3j","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_004.tif","4","","","","","","","","","","","","","","Page 4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36j3j",""
"Network Measurement Center Collection","ark:/21198/z1sf4gtk","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_005.tif","5","","","","","","","","","","","","","","Page 5","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4gtk",""
"Network Measurement Center Collection","ark:/21198/z1np3r1c","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_006.tif","6","","","","","","","","","","","","","","Page 6","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3r1c",""
"Network Measurement Center Collection","ark:/21198/z1hx3074","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_007.tif","7","","","","","","","","","","","","","","Page 7","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx3074",""
"Network Measurement Center Collection","ark:/21198/z1d527hq","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_008.tif","8","","","","","","","","","","","","","","Page 8","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d527hq",""
"Network Measurement Center Collection","ark:/21198/z18d1gtf","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_009.tif","9","","","","","","","","","","","","","","Page 9","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1gtf",""
"Network Measurement Center Collection","ark:/21198/z14n0r6g","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_010.tif","10","","","","","","","","","","","","","","Page 10","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0r6g",""
"Network Measurement Center Collection","ark:/21198/z10z8pwh","ark:/21198/zz002dwrc1","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrc1-1-master_011.tif","11","","","","","","","","","","","","","","Page 11","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8pwh",""
