"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Rights.rightsHolderContact","Language","Name.subject","Name.repository","Name.creator","Subject","Title","Date.creation","AltTitle.other","Description.note","Date.normalized","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Network Measurement Center Collection","ark:/21198/z1s48cj5","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_001.tif","1","","","","","","","","","","","","","","Page 1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48cj5",""
"Network Measurement Center Collection","ark:/21198/z1nc7ms0","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_002.tif","2","","","","","","","","","","","","","","Page 2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc7ms0",""
"Network Measurement Center Collection","ark:/21198/z1hq5kjw","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_003.tif","3","","","","","","","","","","","","","","Page 3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5kjw",""
"Network Measurement Center Collection","ark:/21198/z1cz4tsq","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_004.tif","4","","","","","","","","","","","","","","Page 4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz4tsq",""
"Network Measurement Center Collection","ark:/21198/z1864306","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_005.tif","5","","","","","","","","","","","","","","Page 5","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864306",""
"Network Measurement Center Collection","ark:/21198/z14f3b8g","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_006.tif","6","","","","","","","","","","","","","","Page 6","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3b8g",""
"Network Measurement Center Collection","ark:/21198/z10p2kk6","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_007.tif","7","","","","","","","","","","","","","","Page 7","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2kk6",""
"Network Measurement Center Collection","ark:/21198/z1vx234r","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_008.tif","8","","","","","","","","","","","","","","Page 8","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx234r",""
"Network Measurement Center Collection","ark:/21198/z1r51bcw","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_009.tif","9","","","","","","","","","","","","","","Page 9","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51bcw",""
"Network Measurement Center Collection","ark:/21198/z1mg993s","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_010.tif","10","","","","","","","","","","","","","","Page 10","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg993s",""
"Network Measurement Center Collection","ark:/21198/z1gq8jbm","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_011.tif","11","","","","","","","","","","","","","","Page 11","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8jbm",""
"Network Measurement Center Collection","ark:/21198/z1bz7skf","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_012.tif","12","","","","","","","","","","","","","","Page 12","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7skf",""
"Network Measurement Center Collection","ark:/21198/z17671vd","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_013.tif","13","","","","","","","","","","","","","","Page 13","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17671vd",""
"Network Measurement Center Collection","ark:/21198/z13f6960","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_014.tif","14","","","","","","","","","","","","","","Page 14","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6960",""
"Network Measurement Center Collection","ark:/21198/z1zp5sq9","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_015.tif","15","","","","","","","","","","","","","","Page 15","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp5sq9",""
"Network Measurement Center Collection","ark:/21198/z1tx520c","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_016.tif","16","","","","","","","","","","","","","","Page 16","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx520c",""
"Network Measurement Center Collection","ark:/21198/z1q830p8","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_017.tif","17","","","","","","","","","","","","","","Page 17","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q830p8",""
"Network Measurement Center Collection","ark:/21198/z1kh27wn","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_018.tif","18","","","","","","","","","","","","","","Page 18","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh27wn",""
"Network Measurement Center Collection","ark:/21198/z1fr1h4w","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_019.tif","19","","","","","","","","","","","","","","Page 19","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1h4w",""
"Network Measurement Center Collection","ark:/21198/z1b00rdg","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_020.tif","20","","","","","","","","","","","","","","Page 20","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b00rdg",""
"Network Measurement Center Collection","ark:/21198/z16700r1","ark:/21198/zz002dj6x3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dj6x3-1-master_021.tif","21","","","","","","","","","","","","","","Page 21","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16700r1",""
