"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.countryCreation","Rights.permission","Rights.rightsHolderContact","Language","Name.subject","Name.repository","Name.creator","Subject","Title","Date.creation","AltTitle.other","Description.note","Date.normalized","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Network Measurement Center Collection","ark:/21198/z12r5cb1","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_001.tif","1","","","","","","","","","","","","","","Page 1","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5cb1",""
"Network Measurement Center Collection","ark:/21198/z1z04vr9","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_002.tif","2","","","","","","","","","","","","","","Page 2","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z04vr9",""
"Network Measurement Center Collection","ark:/21198/z1t7440x","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_003.tif","3","","","","","","","","","","","","","","Page 3","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t7440x",""
"Network Measurement Center Collection","ark:/21198/z1pg3c86","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_004.tif","4","","","","","","","","","","","","","","Page 4","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pg3c86",""
"Network Measurement Center Collection","ark:/21198/z1jq2mkx","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_005.tif","5","","","","","","","","","","","","","","Page 5","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2mkx",""
"Network Measurement Center Collection","ark:/21198/z1dz1vzj","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_006.tif","6","","","","","","","","","","","","","","Page 6","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz1vzj",""
"Network Measurement Center Collection","ark:/21198/z1989tn9","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_007.tif","7","","","","","","","","","","","","","","Page 7","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1989tn9",""
"Network Measurement Center Collection","ark:/21198/z15h92xz","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_008.tif","8","","","","","","","","","","","","","","Page 8","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h92xz",""
"Network Measurement Center Collection","ark:/21198/z11r8b4r","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_009.tif","9","","","","","","","","","","","","","","Page 9","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8b4r",""
"Network Measurement Center Collection","ark:/21198/z1x07tmx","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_010.tif","10","","","","","","","","","","","","","","Page 10","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x07tmx",""
"Network Measurement Center Collection","ark:/21198/z1s772wk","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_011.tif","11","","","","","","","","","","","","","","Page 11","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s772wk",""
"Network Measurement Center Collection","ark:/21198/z1ng6b75","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_012.tif","12","","","","","","","","","","","","","","Page 12","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6b75",""
"Network Measurement Center Collection","ark:/21198/z1hq5kkb","ark:/21198/zz002dwrh3","","","Page","network_measurement_center/image/pdf_images/21198-zz002dwrh3-1-master_013.tif","13","","","","","","","","","","","","","","Page 13","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5kkb",""
