Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001794px,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001794qf,individuals,,private,,text,copyrighted,unpublished,N,Women Against Violence Against Women ,Los Angeles (Calif.),American Public Health Association,Conferences (WAVAW),,eng,letters (correspondence),,,,,Rights.statementLocal: Need to obtain permission to publish from original author.,,American Public Health Association - Memo To Possible Panel Participants,"April 20, 1983",,,1983-04-20,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001794px/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001794rz,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001794sg,individuals,,private,,text,copyrighted,unpublished,N,"Women Against Violence Against Women |~|Adams, Dani",Los Angeles (Calif.),American Public Health Association,Conferences (WAVAW)|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Rape--United States--Psychological aspects,,eng,,,,,,Rights.statementLocal: Need to obtain permission to publish from original author.,,American Public Health Association - Abstract Form,"April 20, 1983",,,1983-04-20,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001794rz/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001794vh,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001794w1,individuals,,private,,text,copyrighted,unpublished,unknown,Women Against Violence Against Women |~|National Council of Jewish Women,Los Angeles (Calif.),,Conferences (WAVAW)|~|Violence in mass media|~|Violence in mass media--Psychological aspects|~|Rape|~|Rape--United States--Psychological aspects|~|Incest|~|Child sexual abuse|~|Pornography--Psychological Aspects,,eng,,"Adams, Dani",,,,Rights.statementLocal: Unsure as to whether or not permission from author needs to be obtained as she was writing on behalf of the organization.,,"Paper Presented at ""Law versus Women"" Conference","March, 1983",,,1983-03,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001794vh/manifest
