Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Description.abstract,Coverage.geographic,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Relation.textDirection,Format.extent,thumbnailImageName,masterImageName,Bucketeer State,IIIF Access URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000rwg2w,ark:/21198/zz000rstf2,2,Completed,Page,,533,,,,,,,,,pd,,,,,266r - image missing,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000rw8wd,ark:/21198/zz000rss1c,2,Completed,Page,,386,,,,,,,,,pd,,,,,386,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000rwb0x,ark:/21198/zz000rw9rt,2,Completed,Page,,7,,,,,,,,,pd,,,,,7,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s2wzs,ark:/21198/zz000s0t51,2,Completed,Page,,443,,,,,,,,,pd,,,,,443,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s5vtk,ark:/21198/zz000s39xh,2,Completed,Page,,187,,,,,,,,,pd,,,,,187,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s7f08,ark:/21198/zz000s75h5,2,Completed,Page,,91,,,,,,,,,pd,,,,,91,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sbdq0,ark:/21198/zz000sb7hg,2,Completed,Page,,99,,,,,,,,,pd,,,,,99,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sffrb,ark:/21198/zz000sfc84,2,Completed,Page,,21,,,,,,,,,pd,,,,,21,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000shkhj,ark:/21198/zz000shg90,2,Completed,Page,,26,,,,,,,,,pd,,,,,Rouse Ms. 80. Page 26,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000shmpm,ark:/21198/zz000sdcsf,2,Completed,Page,medren/masters/21198-zz000shmpm-1-master.tif,248,,,,,,,,,pd,,,,,Coll. 170. Ms. 351. Page 248,v,,,,,,,,,,,,,,,21198-zz000shmpm-1-thumbnail.jpg,21198-zz000shmpm-1-master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz000shmtp,ark:/21198/zz000sdcsf,2,Completed,Page,medren/masters/21198-zz000shmtp-1-master.tif,251,,,,,,,,,pd,,,,,Coll. 170. Ms. 351. Page 251,r,,,,,,,,,,,,,,,21198-zz000shmtp-1-thumbnail.jpg,21198-zz000shmtp-1-master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz000shmv6,ark:/21198/zz000sdcsf,2,Completed,Page,medren/masters/21198-zz000shmv6-1-master.tif,252,,,,,,,,,pd,,,,,Coll. 170. Ms. 351. Page 252,v,,,,,,,,,,,,,,,21198-zz000shmv6-1-thumbnail.jpg,21198-zz000shmv6-1-master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz000skh8v,ark:/21198/zz000skgs4,2,Completed,Page,,14,,,,,,,,,pd,,,,,14,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sm1jp,ark:/21198/zz000sm0cm,2,Completed,Page,,34,,,,,,,,,pd,,,,,Coll. 170. Ms. 664. Page 34,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sm1k6,ark:/21198/zz000sm0cm,2,Completed,Page,,35,,,,,,,,,pd,,,,,Coll. 170. Ms. 664. Page 35,r,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz000smcn2,ark:/21198/zz000sm0cm,2,Completed,Page,,126,,,,,,,,,pd,,,,,Coll. 170. Ms. 664. Page 126,v,,,,,,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001dxxm4,ark:/21198/zz000j3rkq,2,Completed,Page,,1,,,,,,,,,pd,,,,,BELT MS 37 Cover,r,,,,,No image.,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001dxxnn,ark:/21198/zz00153cmr,2,Completed,Page,,1,,,,,,,,,pd,,,,,MS 51 front cover,r,,,,,No image.,,,,,,,,,,,,missing,
Medieval and Renaissance Manuscripts,ark:/21198/zz001dz159,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz001dz159_2268599_master.tif,64,,,,,,,,,pd,,,,,Homiliary. Italy.,r,s. XII2,"Bound Manuscripts Collection (Collection 170). UCLA Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.",***170/403 2/XII/ITA/12 volume 2,,,,,,1200,,,,,,21198-zz001dz159_2268599_thumbnail.jpg,21198-zz001dz159_2268599_master.tif,failed,
Medieval and Renaissance Manuscripts,ark:/21198/zz001dz19c,ark:/21198/zz00157r96,2,Completed,Page,medren/masters/21198-zz001dz19c_1268509_master.tif,68,,,,,,,,,pd,,,,,Martyrology. Central Italy.,r,s. XII med,,***170/403 2/XII/ITA/14 volume 2,,,,,,1200,,,,,,21198-zz001dz19c_1268509_thumbnail.jpg,21198-zz001dz19c_1268509_master.tif,failed,
