Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL,IIIF Manifest URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s5gr,ark:/21198/zz000s2z5v,2,Completed,Work,,1,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s5h8,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 1","March, 1981",,,,1981-03,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s5gr/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s5k9,ark:/21198/zz000s2z5v,2,Completed,Work,,2,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s5mt,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 2","July, 1981",,,,1981-07,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s5k9/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s5pv,ark:/21198/zz000s2z5v,2,Completed,Work,,3,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s5qc,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 3","September-October, 1981",,,,1981-09/1981-10,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s5pv/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s5tx,ark:/21198/zz000s2z5v,2,Completed,Work,,4,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s5vf,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 4","November-December, 1981",,,,1981-11/1981-12,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s5tx/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s5xg,ark:/21198/zz000s2z5v,2,Completed,Work,,5,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s5z0,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 5","January-February, 1982",,,,1982-01/1982-02,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s5xg/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s61h,ark:/21198/zz000s2z5v,2,Completed,Work,,6,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s621,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 1, Number 6","March-April, 1982",,,,1982-03/1982-04,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s61h/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s642,ark:/21198/zz000s2z5v,2,Completed,Work,,7,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s65k,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 1","May-June, 1982",,,,1982-05/1982-06,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s642/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s67m,ark:/21198/zz000s2z5v,2,Completed,Work,,8,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s684,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 2","July-August, 1982",,,,1982-07/1982-08,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s67m/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s6cp,ark:/21198/zz000s2z5v,2,Completed,Work,,9,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s6d6,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 3","September-October, 1982",,,,1982-09/1982-10,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s6cp/manifest
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015s6hr,ark:/21198/zz000s2z5v,2,Completed,Work,,10,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015s6j8,text,,copyrighted,Y,published,Orange County (Calif.)|~|Los Angeles (Calif.)|~|Anaheim (Calif.)|~|Long Beach (Calif.),,,Southern California Women for Understanding,Chapter One [newsletter],Lesbians $z California $z Los Angeles,eng,,Southern California Women for Understanding,,,,June L. Mazer Lesbian Archives,"Volume 2, Number 4","November-December, 1982",,,,1982-11/1982-12,,,,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0015s6hr/manifest
