"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Relation.series","Name.subject","Subject","Name.repository","Name.publisher","Relation.isPartOf","Name.illustrator","Name.author","Name.engraver","Alt ID.lccn","Title","Alt ID.local","AltTitle.firstLine","Description.caption","AltTitle.other","Description.note","AltTitle.descriptive","Date.publication","Date.normalized","Publisher.publisherName","Format.dimensions","Alt ID.oclc","Publisher.placeOfOrigin","Format.extent","Opac url","Publisher.edition","Alt ID.callNo","Description.tableOfContents","Description.adminnote","Description.inscription","Date.creation","Bucketeer State","IIIF Access URL"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz00097514","ark:/21198/zz0009750m","2","Completed","Page","cbc/masters/21198-zz00097514-1-master.tif","1","","","","","private","","","pd","","","","","","","","","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.","","","","PE1118 _A105_1807_amin","A-M flap in","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097514"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009752n","ark:/21198/zz0009750m","2","Completed","Page","cbc/masters/21198-zz0009752n-1-master.tif","2","","","","","private","","","pd","","","","","","","","","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.","","","","PE1118 _A105_1807_amout","A-M flap out","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009752n"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz00097535","ark:/21198/zz0009750m","2","Completed","Page","cbc/masters/21198-zz00097535-1-master.tif","3","","","","","private","","","pd","","","","","","","","","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.","","","","PE1118 _A105_1807_nzin","N-Z flap in","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097535"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009754p","ark:/21198/zz0009750m","2","Completed","Page","cbc/masters/21198-zz0009754p-1-master.tif","4","","","","","private","","","pd","","","","","","","","","CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.|~|Ex libris the Olive Percival Collection of Children's Books.","","","","PE1118 _A105_1807_nzout","N-Z flap out","","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009754p"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmcx","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmcx-1-master.tif","1","","","","","private","","still image","","","","Covers (Illustration)","","","","","","","","","","","front cover","PZ8_B383_1874_cover","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmcx"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmdf","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmdf-1-master.tif","2","","","","","private","","still image","","","","Book illustrations|~|Wood engravings","","","","","","","","","","","leaf 1 recto : ill.","PZ8_B383_1874_f1r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmdf"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmfz","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmfz-1-master.tif","3","","","","","private","","still image","","","","Book illustrations|~|Wood engravings","","","","","","","","","","","leaf 4 recto : ill.","PZ8_B383_1874_f4r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmfz"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmgg","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmgg-1-master.tif","4","","","","","private","","still image","","","","Book illustrations|~|Wood engravings","","","","","","","","","","","leaf 6 verso : ill.","PZ8_B383_1874_f6v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmgg"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmh0","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmh0-1-master.tif","5","","","","","private","","still image","","","","Book illustrations|~|Wood engravings","","","","","","","","","","","leaf 7 recto : ill.","PZ8_B383_1874_f7r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmh0"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmjh","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmjh-1-master.tif","6","","","","","private","","still image","","","","Book illustrations|~|Wood engravings","","","","","","","","","","","leaf 9 verso : ill.","PZ8_B383_1874_f9v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmjh"
"CBC : Children’s Book Collection (YRL Special Collections)","ark:/21198/zz0009bmk1","ark:/21198/zz0009bf8z","2","Completed","Page","cbc/masters/21198-zz0009bmk1-1-master.tif","7","","","","","private","","still image","","","","Book illustrations|~|Wood engravings","","","","","","","","","","","leaf 11 verso : ill.","PZ8_B383_1874_f11v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009bmk1"
