Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Title,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/zz002d1s2n/gt278k92,ark:/21198/zz002d1s2n,Page,eric_gill/image/CEG0001_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s2n%2Fgt278k92,
Eric Gill Artwork Collection,ark:/21198/zz002d1s2n/z662939k,ark:/21198/zz002d1s2n,Page,eric_gill/image/CEG0001_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s2n%2Fz662939k,
Eric Gill Artwork Collection,ark:/21198/zz002d1s2n/1268xq7g,ark:/21198/zz002d1s2n,Page,eric_gill/image/CEG0001_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s2n%2F1268xq7g,
Eric Gill Artwork Collection,ark:/21198/zz002d1tqz/ng92dg6d,ark:/21198/zz002d1tqz,Page,eric_gill/image/CEG0050_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1tqz%2Fng92dg6d,
Eric Gill Artwork Collection,ark:/21198/zz002d1tqz/qn513x07,ark:/21198/zz002d1tqz,Page,eric_gill/image/CEG0050_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1tqz%2Fqn513x07,
Eric Gill Artwork Collection,ark:/21198/zz002d1v0k/g007zz28,ark:/21198/zz002d1v0k,Page,eric_gill/image/CEG0058_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1v0k%2Fg007zz28,
Eric Gill Artwork Collection,ark:/21198/zz002d1v0k/3p25h05j,ark:/21198/zz002d1v0k,Page,eric_gill/image/CEG0058_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1v0k%2F3p25h05j,
Eric Gill Artwork Collection,ark:/21198/zz002d1v6p/6t016n88,ark:/21198/zz002d1v6p,Page,eric_gill/image/CEG0065_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1v6p%2F6t016n88,
Eric Gill Artwork Collection,ark:/21198/zz002d1v6p/0z32x76b,ark:/21198/zz002d1v6p,Page,eric_gill/image/CEG0065_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1v6p%2F0z32x76b,
Eric Gill Artwork Collection,ark:/21198/zz002d1vqf/m812bg05,ark:/21198/zz002d1vqf,Page,eric_gill/image/CEG0080_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1vqf%2Fm812bg05,
Eric Gill Artwork Collection,ark:/21198/zz002d1vqf/4z436q2m,ark:/21198/zz002d1vqf,Page,eric_gill/image/CEG0080_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1vqf%2F4z436q2m,
Eric Gill Artwork Collection,ark:/21198/zz002d1wnw/g649gk7d,ark:/21198/zz002d1wnw,Page,eric_gill/image/CEG0121.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1wnw%2Fg649gk7d,
Eric Gill Artwork Collection,ark:/21198/zz002d1wnw/4w521160,ark:/21198/zz002d1wnw,Page,eric_gill/image/CEG0121_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1wnw%2F4w521160,
Eric Gill Artwork Collection,ark:/21198/zz002d1wsz/qb66dh3v,ark:/21198/zz002d1wsz,Page,eric_gill/image/CEG0127_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1wsz%2Fqb66dh3v,
Eric Gill Artwork Collection,ark:/21198/zz002d1wsz/fp39s64m,ark:/21198/zz002d1wsz,Page,eric_gill/image/CEG0127_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1wsz%2Ffp39s64m,
Eric Gill Artwork Collection,ark:/21198/zz002d1x4m/zw27158v,ark:/21198/zz002d1x4m,Page,eric_gill/image/CEG0143_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x4m%2Fzw27158v,
Eric Gill Artwork Collection,ark:/21198/zz002d1x4m/bq29gx3r,ark:/21198/zz002d1x4m,Page,eric_gill/image/CEG0143_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x4m%2Fbq29gx3r,
Eric Gill Artwork Collection,ark:/21198/zz002d1x8p/j1889s56,ark:/21198/zz002d1x8p,Page,eric_gill/image/CEG0147_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x8p%2Fj1889s56,
Eric Gill Artwork Collection,ark:/21198/zz002d1x8p/4260jn6b,ark:/21198/zz002d1x8p,Page,eric_gill/image/CEG0147_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x8p%2F4260jn6b,
Eric Gill Artwork Collection,ark:/21198/zz002d1x96/9q06m01g,ark:/21198/zz002d1x96,Page,eric_gill/image/CEG0149_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x96%2F9q06m01g,
Eric Gill Artwork Collection,ark:/21198/zz002d1x96/mr84bp9t,ark:/21198/zz002d1x96,Page,eric_gill/image/CEG0149_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1x96%2Fmr84bp9t,
Eric Gill Artwork Collection,ark:/21198/zz002d1xvg/69313b15,ark:/21198/zz002d1xvg,Page,eric_gill/image/CEG0167_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xvg%2F69313b15,
Eric Gill Artwork Collection,ark:/21198/zz002d1xvg/20451886,ark:/21198/zz002d1xvg,Page,eric_gill/image/CEG0167_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xvg%2F20451886,
Eric Gill Artwork Collection,ark:/21198/zz002d1xw0/2q06tj85,ark:/21198/zz002d1xw0,Page,eric_gill/image/CEG0168.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xw0%2F2q06tj85,
Eric Gill Artwork Collection,ark:/21198/zz002d1xw0/fj132j12,ark:/21198/zz002d1xw0,Page,eric_gill/image/CEG0168_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xw0%2Ffj132j12,
Eric Gill Artwork Collection,ark:/21198/zz002d1xxh/bh787n9p,ark:/21198/zz002d1xxh,Page,eric_gill/image/CEG0169.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xxh%2Fbh787n9p,
Eric Gill Artwork Collection,ark:/21198/zz002d1xxh/9c51rf0k,ark:/21198/zz002d1xxh,Page,eric_gill/image/CEG0169_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xxh%2F9c51rf0k,
Eric Gill Artwork Collection,ark:/21198/zz002d23q8/9j34n190,ark:/21198/zz002d23q8,Page,eric_gill/image/CEG0311.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d23q8%2F9j34n190,
Eric Gill Artwork Collection,ark:/21198/zz002d23q8/4w25v93w,ark:/21198/zz002d23q8,Page,eric_gill/image/CEG0311_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d23q8%2F4w25v93w,
Eric Gill Artwork Collection,ark:/21198/zz002d26t8/vc24sx55,ark:/21198/zz002d26t8,Page,eric_gill/image/CEG0600.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d26t8%2Fvc24sx55,
Eric Gill Artwork Collection,ark:/21198/zz002d26t8/d0098j4s,ark:/21198/zz002d26t8,Page,eric_gill/image/CEG0600_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d26t8%2Fd0098j4s,
Eric Gill Artwork Collection,ark:/21198/zz002d282v/pf36ph51,ark:/21198/zz002d282v,Page,eric_gill/image/CEG0639_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d282v%2Fpf36ph51,
Eric Gill Artwork Collection,ark:/21198/zz002d282v/tq63sx6w,ark:/21198/zz002d282v,Page,eric_gill/image/CEG0639_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d282v%2Ftq63sx6w,
Eric Gill Artwork Collection,ark:/21198/zz002d283c/ck049x2q,ark:/21198/zz002d283c,Page,eric_gill/image/CEG0640.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d283c%2Fck049x2q,
Eric Gill Artwork Collection,ark:/21198/zz002d283c/c195nn61,ark:/21198/zz002d283c,Page,eric_gill/image/CEG0640_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d283c%2Fc195nn61,
Eric Gill Artwork Collection,ark:/21198/zz002d283c/zw18x15t,ark:/21198/zz002d283c,Page,eric_gill/image/CEG0640_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d283c%2Fzw18x15t,
Eric Gill Artwork Collection,ark:/21198/zz002d283c/1k63s683,ark:/21198/zz002d283c,Page,eric_gill/image/CEG0640_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d283c%2F1k63s683,
Eric Gill Artwork Collection,ark:/21198/zz002d288z/fg76h71x,ark:/21198/zz002d288z,Page,eric_gill/image/CEG0645.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d288z%2Ffg76h71x,
Eric Gill Artwork Collection,ark:/21198/zz002d288z/5d59wm57,ark:/21198/zz002d288z,Page,eric_gill/image/CEG0645_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d288z%2F5d59wm57,
Eric Gill Artwork Collection,ark:/21198/zz002d288z/jh31dk8t,ark:/21198/zz002d288z,Page,eric_gill/image/CEG0645_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d288z%2Fjh31dk8t,
Eric Gill Artwork Collection,ark:/21198/zz002d288z/c422bp3q,ark:/21198/zz002d288z,Page,eric_gill/image/CEG0645_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d288z%2Fc422bp3q,
Eric Gill Artwork Collection,ark:/21198/zz002d293v/6k77gd7q,ark:/21198/zz002d293v,Page,eric_gill/image/CEG0669_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d293v%2F6k77gd7q,
Eric Gill Artwork Collection,ark:/21198/zz002d293v/9j210k2m,ark:/21198/zz002d293v,Page,eric_gill/image/CEG0669_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d293v%2F9j210k2m,
Eric Gill Artwork Collection,ark:/21198/zz002d294c/rj83q52r,ark:/21198/zz002d294c,Page,eric_gill/image/CEG0674.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d294c%2Frj83q52r,
Eric Gill Artwork Collection,ark:/21198/zz002d294c/9c45p140,ark:/21198/zz002d294c,Page,eric_gill/image/CEG0674_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d294c%2F9c45p140,
Eric Gill Artwork Collection,ark:/21198/zz002d29bg/q299s497,ark:/21198/zz002d29bg,Page,eric_gill/image/CEG0680.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2Fq299s497,
Eric Gill Artwork Collection,ark:/21198/zz002d29bg/8f623d1w,ark:/21198/zz002d29bg,Page,eric_gill/image/CEG0680_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2F8f623d1w,
Eric Gill Artwork Collection,ark:/21198/zz002d29bg/f513fd1j,ark:/21198/zz002d29bg,Page,eric_gill/image/CEG0680_c.tif,3,Item 3,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2Ff513fd1j,
Eric Gill Artwork Collection,ark:/21198/zz002d29bg/9009kn0n,ark:/21198/zz002d29bg,Page,eric_gill/image/CEG0680_d.tif,4,Item 4,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2F9009kn0n,
Eric Gill Artwork Collection,ark:/21198/zz002d29bg/d947gs6j,ark:/21198/zz002d29bg,Page,eric_gill/image/CEG0680_e.tif,5,Item 5,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2Fd947gs6j,
Eric Gill Artwork Collection,ark:/21198/zz002d29bg/n454cv3c,ark:/21198/zz002d29bg,Page,eric_gill/image/CEG0680_f.tif,6,Item 6,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2Fn454cv3c,
Eric Gill Artwork Collection,ark:/21198/zz002d29jk/1x83kk9f,ark:/21198/zz002d29jk,Page,eric_gill/image/CEG0687_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29jk%2F1x83kk9f,
Eric Gill Artwork Collection,ark:/21198/zz002d29jk/wg09f110,ark:/21198/zz002d29jk,Page,eric_gill/image/CEG0687_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29jk%2Fwg09f110,
Eric Gill Artwork Collection,ark:/21198/zz002d2f07/tc15vv6f,ark:/21198/zz002d2f07,Page,eric_gill/image/CEG0920_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2f07%2Ftc15vv6f,
Eric Gill Artwork Collection,ark:/21198/zz002d2f07/xc37vg6v,ark:/21198/zz002d2f07,Page,eric_gill/image/CEG0920_b.tif,2,Item 2,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2f07%2Fxc37vg6v,
Eric Gill Artwork Collection,ark:/21198/zz002d2frm/c469fd2q,ark:/21198/zz002d2frm,Page,eric_gill/image/CEG0961_a.tif,1,Item 1,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2frm%2Fc469fd2q,
