Project Name,Item ARK,Parent ARK,viewingHint,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.genre,Rights.publicationStatus,Rights.status,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Format.dimensions,Title,Alt ID.local,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/zz002czw6v,,,2,Completed,Collection,,,drawings (visual works)|~|paintings (visual works)|~|woodcuts (prints)|~|wood engravings (prints)|~|wood blocks (printing blocks)|~|letterpress printing,unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,"Tegetmeier, Petra, 1906-1999|~|Gill, Joanna, 1910-|~|Gill, Mary Ethel (1878-1961)","Gibbings, Robert, 1889-1958|~|Gill, Eric, 1882-1940|~|Hague, René",William Andrews Clark Memorial Library,,"This collection consists of original artwork, printing blocks, photographs and other visual material produced by or related to artist and designer Eric Gill. Items include prints, printing blocks, drawings, sketchbooks, photographs, architectural plans, ephemera, and artists' proofs, as well as broadsides, posters and printed reproductions.|~|Eric Gill was born in 1882 in Brighton.  He attended art school before the age of 18, when he went to London to work in an architect's office. The Arts & Crafts movement offered an exciting alternative to the ""wage slavery"" of the office and instead of studying architecture in the evenings, Gill learned the art of carving inscriptions in stone, attending masonry & lettering courses.  By 1904 Gill was self-employed, carving lettering on public buildings as well as tombstones & memorial tablets for private clients. Gill dabbled in socialism, attended meetings of the Fabian Society, and spoke vociferously against the factory system. But he soon wearied of the discipline and obligations of political action, left London, & joined a community of craftsmen in Ditchling, Sussex. While at Ditchling, he and his wife converted to Catholicism and founded a reconstituted religious community linked with the Dominican order, the Guild of SS. Joseph and Dominic. Sculpture continued to occupy Gill during the Ditchling period (1907-1924) but he also mastered other skills and developed other sources of income. His lettering was in great demand not just for stone inscriptions but also for painted signs and printing. He also learned wood engraving and began to experiment with printmaking and book illustration, trying his hand at the hand-press and learning the first principles of typography and composition. In the 1920s, he found a new market for his wood engravings in the Golden Cockerel Press. Increasingly intrigued by typography, Gill not only catered to book collectors and bibliophiles but also to trade printers through the Monotype Corporation. In 1928, Gill brought his family closer to London, settling at Pigotts, near High Wycombe, Buckinghamshire.  He designed & built a church, carved massive sculptures for the BBC headquarters, the London Underground & The League of Nations building in Geneva. He died on November 17, 1940 at the age of 58, leaving behind more than a thousand engravings; at least one hundred and fifty books with his illustrations; designs for eleven different typefaces; and countless sculptures and inscriptions on city buildings, Catholic churches, and public squares throughout England.",1887-2003,,Eric Gill Artwork Collection,,http://www.oac.cdlib.org/findaid/ark:/13030/c80g3jht/,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002czw6v
Eric Gill Artwork Collection,ark:/21198/zz002d1s2n,ark:/21198/zz002czw6v,paged,,,Work,,1,drawings (visual works)|~|erotica,,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1939",,pencil on paper,"A sketchbook with three pencil nudes: female, back view from shoulders to knees; male, front view from chest to knees; male genitals.",1939 January,7.75 x 10.25 inches,Three pencil nudes,CEG1,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s2n/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s35,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0002.tif,2,drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on lightweight paper,Sketch of a female figure with arms raised,undated,5.5 x 8.75 inches,Untitled,CEG2,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s35,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s35/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s4p,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0004.tif,3,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paperboard,"Architectural drawing of the front of a building.  Annotated in Gill’s hand, “Salmon Ody & Co., 292 Strand. W.C. AERG.”",undated,6.5 x 9.5 inches,"Salmon & Ody, 292 Strand",CEG4,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s4p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s4p/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s56,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0005.tif,4,paintings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil and watercolor on paper,Watercolor painting of a chimney pot,undated,5.25 x 7.5 inches,Untitled,CEG5,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s56,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s56/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s6q,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0006.tif,5,paintings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,watercolor on paper,Watercolor painting of Stopham Bridge,undated,7 x 5.5 inches,Stopham Bridge,CEG6,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s6q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s6q/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s77,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0007.tif,6,paintings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,watercolor on paper,"Watercolor painting of a sunset, beach, pier and sea at Bognor.",undated,9.5 x 6.5 inches,Bognor,CEG7,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s77,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s77/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s8r,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0008.tif,7,paintings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,watercolor on paper,Watercolor painting of rooftops and cathedral (probably Chichester).,about 1899,6.75 x 10.75 inches,Untitled,CEG8,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s8r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s8r/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1s98,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0009.tif,8,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Sketch of a portion of St. David’s Cathedral: side aisle along the nave.,about 1899,5.5 x 8.5 inches,St. David's Cathedral,CEG9,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1s98,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1s98/manifest
Eric Gill Artwork Collection,ark:/21198/zz002d1sbs,ark:/21198/zz002czw6v,,2,Completed,Work,eric_gill/image/CEG0010.tif,9,drawings (visual works)|~|architectural drawings (visual works),unknown,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940",,pencil on paper,Sketch of a portion of St. David’s Cathedral: side aisle along the nave.,about 1899,8.5 x 5.5 inches,St. David's Cathedral,CEG10,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1sbs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1sbs/manifest
