"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 5: page 9r","Armenian Manuscripts","ark:/21198/zz0025dmfz","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmfz_1693517_master.tif","21","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmfz",""
"Manuscript No. 5: page 9v","Armenian Manuscripts","ark:/21198/zz0025dmgg","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmgg_1693526_master.tif","22","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmgg",""
"Manuscript No. 5: page 10r","Armenian Manuscripts","ark:/21198/zz0025dmh0","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmh0_1693672_master.tif","23","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmh0",""
"Manuscript No. 5: page 10v","Armenian Manuscripts","ark:/21198/zz0025dmjh","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmjh_1693676_master.tif","24","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmjh",""
"Manuscript No. 5: page 11r","Armenian Manuscripts","ark:/21198/zz0025dmk1","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmk1_1693679_master.tif","25","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmk1",""
"Manuscript No. 5: page 11v","Armenian Manuscripts","ark:/21198/zz0025dmmj","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmmj_1693684_master.tif","26","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmmj",""
"Manuscript No. 5: page 12r","Armenian Manuscripts","ark:/21198/zz0025dmn2","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmn2_1693705_master.tif","27","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmn2",""
"Manuscript No. 5: page 12v","Armenian Manuscripts","ark:/21198/zz0025dmpk","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmpk_1693709_master.tif","28","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmpk",""
"Manuscript No. 5: page 13r","Armenian Manuscripts","ark:/21198/zz0025dmq3","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmq3_1693714_master.tif","29","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmq3",""
"Manuscript No. 5: page 13v","Armenian Manuscripts","ark:/21198/zz0025dmrm","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025dmrm_1693717_master.tif","30","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dmrm",""
"Manuscript No. 5: page 14r","Armenian Manuscripts","ark:/21198/zz0025h6qn","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6qn_1693732_master.tif","31","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6qn",""
"Manuscript No. 5: page 14v","Armenian Manuscripts","ark:/21198/zz0025h6r5","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6r5_1693745_master.tif","32","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6r5",""
"Manuscript No. 5: page 15r","Armenian Manuscripts","ark:/21198/zz0025h6sp","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6sp_1693762_master.tif","33","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6sp",""
"Manuscript No. 5: page 15v","Armenian Manuscripts","ark:/21198/zz0025h6t6","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6t6_1693765_master.tif","34","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6t6",""
"Manuscript No. 5: page 16r","Armenian Manuscripts","ark:/21198/zz0025h6vq","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6vq_1693768_master.tif","35","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6vq",""
"Manuscript No. 5: page 16v","Armenian Manuscripts","ark:/21198/zz0025h6w7","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6w7_1693771_master.tif","36","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6w7",""
"Manuscript No. 5: page 17r","Armenian Manuscripts","ark:/21198/zz0025h6xr","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6xr_1693774_master.tif","37","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6xr",""
"Manuscript No. 5: page 17v","Armenian Manuscripts","ark:/21198/zz0025h6z8","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h6z8_1693777_master.tif","38","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6z8",""
"Manuscript No. 5: page 18r","Armenian Manuscripts","ark:/21198/zz0025h708","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h708_1693780_master.tif","39","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h708",""
"Manuscript No. 5: page 18v","Armenian Manuscripts","ark:/21198/zz0025h71s","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h71s_1693783_master.tif","40","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h71s",""
"Manuscript No. 5: page 19r","Armenian Manuscripts","ark:/21198/zz0025h729","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h729_1693786_master.tif","41","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h729",""
"Manuscript No. 5: page 19v","Armenian Manuscripts","ark:/21198/zz0025h73t","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h73t_1693789_master.tif","42","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h73t",""
"Manuscript No. 5: page 20r","Armenian Manuscripts","ark:/21198/zz0025h74b","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h74b_1693792_master.tif","43","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h74b",""
"Manuscript No. 5: page 20v","Armenian Manuscripts","ark:/21198/zz0025h75v","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h75v_1693795_master.tif","44","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h75v",""
"Manuscript No. 5: page 21r","Armenian Manuscripts","ark:/21198/zz0025h76c","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h76c_1693798_master.tif","45","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h76c",""
"Manuscript No. 5: page 21v","Armenian Manuscripts","ark:/21198/zz0025h77w","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h77w_1693801_master.tif","46","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h77w",""
"Manuscript No. 5: page 22r","Armenian Manuscripts","ark:/21198/zz0025h78d","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h78d_1693804_master.tif","47","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h78d",""
"Manuscript No. 5: page 22v","Armenian Manuscripts","ark:/21198/zz0025h79x","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h79x_1693807_master.tif","48","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h79x",""
"Manuscript No. 5: page 23r","Armenian Manuscripts","ark:/21198/zz0025h7bf","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7bf_1693810_master.tif","49","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7bf",""
"Manuscript No. 5: page 23v","Armenian Manuscripts","ark:/21198/zz0025h7cz","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7cz_1693813_master.tif","50","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7cz",""
"Manuscript No. 5: page 24r","Armenian Manuscripts","ark:/21198/zz0025h7dg","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7dg_1693816_master.tif","51","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7dg",""
"Manuscript No. 5: page 24v","Armenian Manuscripts","ark:/21198/zz0025h7f0","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7f0_1693819_master.tif","52","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7f0",""
"Manuscript No. 5: page 25r","Armenian Manuscripts","ark:/21198/zz0025h7gh","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7gh_1693822_master.tif","53","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7gh",""
"Manuscript No. 5: page 25v","Armenian Manuscripts","ark:/21198/zz0025h7h1","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7h1_1693825_master.tif","54","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7h1",""
"Manuscript No. 5: page 26r","Armenian Manuscripts","ark:/21198/zz0025h7jj","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7jj_1693828_master.tif","55","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7jj",""
"Manuscript No. 5: page 26v","Armenian Manuscripts","ark:/21198/zz0025h7k2","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7k2_1693831_master.tif","56","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7k2",""
"Manuscript No. 5: page 27r","Armenian Manuscripts","ark:/21198/zz0025h7mk","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7mk_1693834_master.tif","57","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7mk",""
"Manuscript No. 5: page 27v","Armenian Manuscripts","ark:/21198/zz0025h7n3","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7n3_1693837_master.tif","58","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7n3",""
"Manuscript No. 5: page 28r","Armenian Manuscripts","ark:/21198/zz0025h7pm","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7pm_1693840_master.tif","59","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7pm",""
"Manuscript No. 5: page 28v","Armenian Manuscripts","ark:/21198/zz0025h7q4","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7q4_1693843_master.tif","60","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7q4",""
"Manuscript No. 5: page 29r","Armenian Manuscripts","ark:/21198/zz0025h7rn","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7rn_1693846_master.tif","61","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7rn",""
"Manuscript No. 5: page 29v","Armenian Manuscripts","ark:/21198/zz0025h7s5","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7s5_1693849_master.tif","62","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7s5",""
"Manuscript No. 5: page 30r","Armenian Manuscripts","ark:/21198/zz0025h7tp","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7tp_1693852_master.tif","63","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7tp",""
"Manuscript No. 5: page 30v","Armenian Manuscripts","ark:/21198/zz0025h7v6","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7v6_1693855_master.tif","64","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7v6",""
"Manuscript No. 5: page 31r","Armenian Manuscripts","ark:/21198/zz0025h7wq","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7wq_1693858_master.tif","65","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7wq",""
"Manuscript No. 5: page 31v","Armenian Manuscripts","ark:/21198/zz0025h7x7","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7x7_1693861_master.tif","66","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7x7",""
"Manuscript No. 5: page 32r","Armenian Manuscripts","ark:/21198/zz0025h7zr","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h7zr_1693864_master.tif","67","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h7zr",""
"Manuscript No. 5: page 32v","Armenian Manuscripts","ark:/21198/zz0025h80r","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h80r_1693867_master.tif","68","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h80r",""
"Manuscript No. 5: page 33r","Armenian Manuscripts","ark:/21198/zz0025h818","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h818_1693870_master.tif","69","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h818",""
"Manuscript No. 5: page 33v","Armenian Manuscripts","ark:/21198/zz0025h82s","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h82s_1693873_master.tif","70","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h82s",""
"Manuscript No. 5: page 34r","Armenian Manuscripts","ark:/21198/zz0025h839","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h839_1693876_master.tif","71","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h839",""
"Manuscript No. 5: page 34v","Armenian Manuscripts","ark:/21198/zz0025h84t","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h84t_1693879_master.tif","72","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h84t",""
"Manuscript No. 5: page 35r","Armenian Manuscripts","ark:/21198/zz0025h85b","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h85b_1693882_master.tif","73","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h85b",""
"Manuscript No. 5: page 35v","Armenian Manuscripts","ark:/21198/zz0025h86v","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h86v_1693885_master.tif","74","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h86v",""
"Manuscript No. 5: page 36r","Armenian Manuscripts","ark:/21198/zz0025h87c","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h87c_1693888_master.tif","75","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h87c",""
"Manuscript No. 5: page 36v","Armenian Manuscripts","ark:/21198/zz0025h88w","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h88w_1693891_master.tif","76","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h88w",""
"Manuscript No. 5: page 37r","Armenian Manuscripts","ark:/21198/zz0025h89d","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h89d_1693894_master.tif","77","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h89d",""
"Manuscript No. 5: page 37v","Armenian Manuscripts","ark:/21198/zz0025h8bx","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h8bx_1693921_master.tif","78","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h8bx",""
"Manuscript No. 5: page 38r","Armenian Manuscripts","ark:/21198/zz0025h8cf","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h8cf_1693924_master.tif","79","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h8cf",""
"Manuscript No. 5: page 38v","Armenian Manuscripts","ark:/21198/zz0025h8dz","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h8dz_1693927_master.tif","80","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h8dz",""
"Manuscript No. 5: page 39r","Armenian Manuscripts","ark:/21198/zz0025h8fg","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h8fg_1693930_master.tif","81","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h8fg",""
"Manuscript No. 5: page 39v","Armenian Manuscripts","ark:/21198/zz0025h8g0","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h8g0_1693933_master.tif","82","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h8g0",""
"Manuscript No. 5: page 40r","Armenian Manuscripts","ark:/21198/zz0025h8hh","ark:/21198/zz0025dkqm","Page","","armenian/masters/21198-zz0025h8hh_1693936_master.tif","83","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h8hh",""
