"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 75: page 1a","Armenian Manuscripts","ark:/21198/zz001dzvf1","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvf1_1270593_master.tif","1","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvf1",""
"Manuscript No. 75: page 1b","Armenian Manuscripts","ark:/21198/zz001dzvgj","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvgj_1270696_master.tif","2","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvgj",""
"Manuscript No. 75: page 2a","Armenian Manuscripts","ark:/21198/zz001dzvh2","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvh2_1270701_master.tif","3","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvh2",""
"Manuscript No. 75: page 2b","Armenian Manuscripts","ark:/21198/zz001dzvjk","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvjk_1270705_master.tif","4","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvjk",""
"Manuscript No. 75: page 3a","Armenian Manuscripts","ark:/21198/zz001dzvk3","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvk3_1270709_master.tif","5","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvk3",""
"Manuscript No. 75: page 3b","Armenian Manuscripts","ark:/21198/zz001dzvmm","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvmm_1270714_master.tif","6","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvmm",""
"Manuscript No. 75: page 4a","Armenian Manuscripts","ark:/21198/zz001dzvn4","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvn4_1270717_master.tif","7","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvn4",""
"Manuscript No. 75: page 4b","Armenian Manuscripts","ark:/21198/zz001dzvpn","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvpn_1270723_master.tif","8","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvpn",""
"Manuscript No. 75: page 5a","Armenian Manuscripts","ark:/21198/zz001dzvq5","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvq5_1270726_master.tif","9","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvq5",""
"Manuscript No. 75: page 5b","Armenian Manuscripts","ark:/21198/zz001dzvrp","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvrp_1270729_master.tif","10","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvrp",""
"Manuscript No. 75: page 6a","Armenian Manuscripts","ark:/21198/zz001dzvs6","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvs6_1270733_master.tif","11","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvs6",""
"Manuscript No. 75: page 6b","Armenian Manuscripts","ark:/21198/zz001dzvtq","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvtq_1270738_master.tif","12","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvtq",""
"Manuscript No. 75: page 7a","Armenian Manuscripts","ark:/21198/zz001dzvv7","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvv7_1270741_master.tif","13","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvv7",""
"Manuscript No. 75: page 7b","Armenian Manuscripts","ark:/21198/zz001dzvwr","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvwr_1270744_master.tif","14","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvwr",""
"Manuscript No. 75: page 8a","Armenian Manuscripts","ark:/21198/zz001dzvx8","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvx8_1270748_master.tif","15","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvx8",""
"Manuscript No. 75: page 8b","Armenian Manuscripts","ark:/21198/zz001dzvzs","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzvzs_1270753_master.tif","16","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzvzs",""
"Manuscript No. 75: page 9a","Armenian Manuscripts","ark:/21198/zz001dzw0s","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw0s_1270756_master.tif","17","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw0s",""
"Manuscript No. 75: page 9b","Armenian Manuscripts","ark:/21198/zz001dzw19","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw19_1270762_master.tif","18","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw19",""
"Manuscript No. 75: page 10a","Armenian Manuscripts","ark:/21198/zz001dzw2t","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw2t_1270779_master.tif","19","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw2t",""
"Manuscript No. 75: page 10b","Armenian Manuscripts","ark:/21198/zz001dzw3b","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw3b_1270790_master.tif","20","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw3b",""
"Manuscript No. 75: page 11a","Armenian Manuscripts","ark:/21198/zz001dzw4v","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw4v_1270796_master.tif","21","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw4v",""
"Manuscript No. 75: page 11b","Armenian Manuscripts","ark:/21198/zz001dzw5c","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw5c_1270817_master.tif","22","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw5c",""
"Manuscript No. 75: page 12a","Armenian Manuscripts","ark:/21198/zz001dzw6w","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw6w_1270834_master.tif","23","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw6w",""
"Manuscript No. 75: page 12b","Armenian Manuscripts","ark:/21198/zz001dzw7d","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw7d_1270838_master.tif","24","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw7d",""
"Manuscript No. 75: page 13a","Armenian Manuscripts","ark:/21198/zz001dzw8x","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw8x_1270846_master.tif","25","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw8x",""
"Manuscript No. 75: page 13b","Armenian Manuscripts","ark:/21198/zz001dzw9f","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzw9f_1270849_master.tif","26","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzw9f",""
"Manuscript No. 75: page 14a","Armenian Manuscripts","ark:/21198/zz001dzwbz","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzwbz_1270852_master.tif","27","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzwbz",""
"Manuscript No. 75: page 14b","Armenian Manuscripts","ark:/21198/zz001dzwcg","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzwcg_1270856_master.tif","28","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzwcg",""
"Manuscript No. 75: page 15a","Armenian Manuscripts","ark:/21198/zz001dzwd0","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzwd0_1270864_master.tif","29","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzwd0",""
"Manuscript No. 75: page 15b","Armenian Manuscripts","ark:/21198/zz001dzwfh","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzwfh_1270867_master.tif","30","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzwfh",""
"Manuscript No. 75: page 16a","Armenian Manuscripts","ark:/21198/zz001dzzp3","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzp3_1270873_master.tif","31","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzp3",""
"Manuscript No. 75: page 16b","Armenian Manuscripts","ark:/21198/zz001dzzqm","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzqm_1270876_master.tif","32","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzqm",""
"Manuscript No. 75: page 17a","Armenian Manuscripts","ark:/21198/zz001dzzr4","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzr4_1270948_master.tif","33","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzr4",""
"Manuscript No. 75: page 17b","Armenian Manuscripts","ark:/21198/zz001dzzsn","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzsn_1270951_master.tif","34","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzsn",""
"Manuscript No. 75: page 18a","Armenian Manuscripts","ark:/21198/zz001dzzt5","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzt5_1270954_master.tif","35","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzt5",""
"Manuscript No. 75: page 18b","Armenian Manuscripts","ark:/21198/zz001dzzvp","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzvp_1270957_master.tif","36","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzvp",""
"Manuscript No. 75: page 19a","Armenian Manuscripts","ark:/21198/zz001dzzw6","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzw6_1270960_master.tif","37","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzw6",""
"Manuscript No. 75: page 19b","Armenian Manuscripts","ark:/21198/zz001dzzxq","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzxq_1270963_master.tif","38","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzxq",""
"Manuscript No. 75: page 20a","Armenian Manuscripts","ark:/21198/zz001dzzz7","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001dzzz7_1270966_master.tif","39","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dzzz7",""
"Manuscript No. 75: page 20b","Armenian Manuscripts","ark:/21198/zz001f0003","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f0003_1270969_master.tif","40","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f0003",""
"Manuscript No. 75: page 21a","Armenian Manuscripts","ark:/21198/zz001f001m","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f001m_1270972_master.tif","41","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f001m",""
"Manuscript No. 75: page 21b","Armenian Manuscripts","ark:/21198/zz001f0024","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f0024_1270975_master.tif","42","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f0024",""
"Manuscript No. 75: page 22a","Armenian Manuscripts","ark:/21198/zz001f003n","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f003n_1270978_master.tif","43","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f003n",""
"Manuscript No. 75: page 22b","Armenian Manuscripts","ark:/21198/zz001f0045","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f0045_1270981_master.tif","44","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f0045",""
"Manuscript No. 75: page 23a","Armenian Manuscripts","ark:/21198/zz001f005p","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f005p_1270984_master.tif","45","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f005p",""
"Manuscript No. 75: page 23b","Armenian Manuscripts","ark:/21198/zz001f0066","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f0066_1270987_master.tif","46","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f0066",""
"Manuscript No. 75: page 24a","Armenian Manuscripts","ark:/21198/zz001f007q","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f007q_1270990_master.tif","47","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f007q",""
"Manuscript No. 75: page 24b","Armenian Manuscripts","ark:/21198/zz001f0087","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f0087_1270993_master.tif","48","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f0087",""
"Manuscript No. 75: page 25a","Armenian Manuscripts","ark:/21198/zz001f009r","ark:/21198/zz001dzvdh","Page","","armenian/masters/21198-zz001f009r_1270999_master.tif","49","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001f009r",""
