"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.27: 001","Armenian Manuscripts","ark:/21198/zz002734pm","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_001.tif","1","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734pm",""
"Manuscript No.27: 002","Armenian Manuscripts","ark:/21198/zz002734q4","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_002.tif","2","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734q4",""
"Manuscript No.27: 003","Armenian Manuscripts","ark:/21198/zz002734rn","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_003.tif","3","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734rn",""
"Manuscript No.27: 004","Armenian Manuscripts","ark:/21198/zz002734s5","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_004.tif","4","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734s5",""
"Manuscript No.27: 005","Armenian Manuscripts","ark:/21198/zz002734tp","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_005.tif","5","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734tp",""
"Manuscript No.27: 006","Armenian Manuscripts","ark:/21198/zz002734v6","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_006.tif","6","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734v6",""
"Manuscript No.27: 007","Armenian Manuscripts","ark:/21198/zz002734wq","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_007.tif","7","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734wq",""
"Manuscript No.27: 008","Armenian Manuscripts","ark:/21198/zz002734x7","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_008.tif","8","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734x7",""
"Manuscript No.27: 009","Armenian Manuscripts","ark:/21198/zz002734zr","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_009.tif","9","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002734zr",""
"Manuscript No.27: 010","Armenian Manuscripts","ark:/21198/zz0027350r","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_010.tif","10","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027350r",""
"Manuscript No.27: 011","Armenian Manuscripts","ark:/21198/zz00273518","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_011.tif","11","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00273518",""
"Manuscript No.27: 012","Armenian Manuscripts","ark:/21198/zz0027352s","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_012.tif","12","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027352s",""
"Manuscript No.27: 013","Armenian Manuscripts","ark:/21198/zz00273539","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_013.tif","13","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00273539",""
"Manuscript No.27: 014","Armenian Manuscripts","ark:/21198/zz0027354t","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_014.tif","14","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027354t",""
"Manuscript No.27: 015","Armenian Manuscripts","ark:/21198/zz0027355b","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_015.tif","15","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027355b",""
"Manuscript No.27: 016","Armenian Manuscripts","ark:/21198/zz0027356v","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_016.tif","16","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027356v",""
"Manuscript No.27: 017","Armenian Manuscripts","ark:/21198/zz0027357c","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_017.tif","17","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027357c",""
"Manuscript No.27: 018","Armenian Manuscripts","ark:/21198/zz0027358w","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_018.tif","18","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027358w",""
"Manuscript No.27: 019","Armenian Manuscripts","ark:/21198/zz0027359d","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_019.tif","19","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027359d",""
"Manuscript No.27: 020","Armenian Manuscripts","ark:/21198/zz002735bx","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_020.tif","20","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735bx",""
"Manuscript No.27: 021","Armenian Manuscripts","ark:/21198/zz002735cf","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_021.tif","21","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735cf",""
"Manuscript No.27: 022","Armenian Manuscripts","ark:/21198/zz002735dz","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_022.tif","22","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735dz",""
"Manuscript No.27: 023","Armenian Manuscripts","ark:/21198/zz002735fg","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_023.tif","23","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735fg",""
"Manuscript No.27: 024","Armenian Manuscripts","ark:/21198/zz002735g0","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_024.tif","24","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735g0",""
"Manuscript No.27: 025","Armenian Manuscripts","ark:/21198/zz002735hh","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_025.tif","25","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735hh",""
"Manuscript No.27: 026","Armenian Manuscripts","ark:/21198/zz002735j1","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_026.tif","26","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735j1",""
"Manuscript No.27: 027","Armenian Manuscripts","ark:/21198/zz002735kj","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_027.tif","27","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735kj",""
"Manuscript No.27: 028","Armenian Manuscripts","ark:/21198/zz002735m2","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_028.tif","28","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735m2",""
"Manuscript No.27: 029","Armenian Manuscripts","ark:/21198/zz002735nk","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_029.tif","29","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735nk",""
"Manuscript No.27: 030","Armenian Manuscripts","ark:/21198/zz002735p3","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_030.tif","30","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735p3",""
"Manuscript No.27: 031","Armenian Manuscripts","ark:/21198/zz002735qm","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_031.tif","31","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735qm",""
"Manuscript No.27: 032","Armenian Manuscripts","ark:/21198/zz002735r4","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_032.tif","32","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735r4",""
"Manuscript No.27: 033","Armenian Manuscripts","ark:/21198/zz002735sn","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_033.tif","33","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735sn",""
"Manuscript No.27: 034","Armenian Manuscripts","ark:/21198/zz002735t5","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_034.tif","34","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735t5",""
"Manuscript No.27: 035","Armenian Manuscripts","ark:/21198/zz002735vp","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_035.tif","35","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735vp",""
"Manuscript No.27: 036","Armenian Manuscripts","ark:/21198/zz002735w6","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_036.tif","36","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735w6",""
"Manuscript No.27: 037","Armenian Manuscripts","ark:/21198/zz002735xq","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_037.tif","37","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735xq",""
"Manuscript No.27: 038","Armenian Manuscripts","ark:/21198/zz002735z7","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_038.tif","38","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002735z7",""
"Manuscript No.27: 039","Armenian Manuscripts","ark:/21198/zz00273607","ark:/21198/zz0026hvjn","Page","","armenian/masters/ms_27/ms_27_039.tif","39","text","","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00273607",""
