"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 12: page 1","Armenian Manuscripts","ark:/21198/zz00272h9s","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_001.tif","1","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272h9s",""
"Manuscript No. 12: page 2","Armenian Manuscripts","ark:/21198/zz00272hb9","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_002.tif","2","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hb9",""
"Manuscript No. 12: page 3","Armenian Manuscripts","ark:/21198/zz00272hct","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_003.tif","3","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hct",""
"Manuscript No. 12: page 4","Armenian Manuscripts","ark:/21198/zz00272hdb","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_004.tif","4","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hdb",""
"Manuscript No. 12: page 5","Armenian Manuscripts","ark:/21198/zz00272hfv","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_005.tif","5","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hfv",""
"Manuscript No. 12: page 6","Armenian Manuscripts","ark:/21198/zz00272hgc","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_006.tif","6","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hgc",""
"Manuscript No. 12: page 7","Armenian Manuscripts","ark:/21198/zz00272hhw","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_007.tif","7","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hhw",""
"Manuscript No. 12: page 8","Armenian Manuscripts","ark:/21198/zz00272hjd","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_008.tif","8","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hjd",""
"Manuscript No. 12: page 9","Armenian Manuscripts","ark:/21198/zz00272hkx","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_009.tif","9","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hkx",""
"Manuscript No. 12: page 10","Armenian Manuscripts","ark:/21198/zz00272hmf","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_010.tif","10","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hmf",""
"Manuscript No. 12: page 11","Armenian Manuscripts","ark:/21198/zz00272hnz","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_011.tif","11","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hnz",""
"Manuscript No. 12: page 12","Armenian Manuscripts","ark:/21198/zz00272hpg","ark:/21198/zz0026hv5z","Page","","armenian/masters/ms_12/ms_12_012.tif","12","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00272hpg",""
