"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Description.note","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 8: page 1","Armenian Manuscripts","ark:/21198/zz001d8jg7","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jg7_774521_master.tif","1","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jg7",""
"Manuscript No. 8: page 2","Armenian Manuscripts","ark:/21198/zz001d8jhr","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jhr_774535_master.tif","2","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jhr",""
"Manuscript No. 8: page 3","Armenian Manuscripts","ark:/21198/zz001d8jj8","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jj8_774543_master.tif","3","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jj8",""
"Manuscript No. 8: page 4","Armenian Manuscripts","ark:/21198/zz001d8jks","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jks_774546_master.tif","4","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jks",""
"Manuscript No. 8: page 5","Armenian Manuscripts","ark:/21198/zz001d8jm9","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jm9_774581_master.tif","5","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jm9",""
"Manuscript No. 8: page 6","Armenian Manuscripts","ark:/21198/zz001d8jnt","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jnt_774595_master.tif","6","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jnt",""
"Manuscript No. 8: page 7","Armenian Manuscripts","ark:/21198/zz001d8jpb","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jpb_774611_master.tif","7","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jpb",""
"Manuscript No. 8: page 8","Armenian Manuscripts","ark:/21198/zz001d8jqv","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jqv_774635_master.tif","8","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jqv",""
"Manuscript No. 8: page 9","Armenian Manuscripts","ark:/21198/zz001d8jrc","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jrc_774645_master.tif","9","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jrc",""
"Manuscript No. 8: page 10","Armenian Manuscripts","ark:/21198/zz001d8jsw","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8jsw_774657_master.tif","10","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8jsw",""
"Manuscript No. 8: page 11","Armenian Manuscripts","ark:/21198/zz001d8nzx","ark:/21198/zz001d8jd6","Page","","armenian/masters/21198-zz001d8nzx_774675_master.tif","11","text","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d8nzx",""
