"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.41: 001","Armenian Manuscripts","ark:/21198/zz00279n48","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_001.tif","1","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279n48",""
"Manuscript No.41: 002","Armenian Manuscripts","ark:/21198/zz00279n5s","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_002.tif","2","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279n5s",""
"Manuscript No.41: 003","Armenian Manuscripts","ark:/21198/zz00279n69","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_003.tif","3","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279n69",""
"Manuscript No.41: 004","Armenian Manuscripts","ark:/21198/zz00279n7t","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_004.tif","4","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279n7t",""
"Manuscript No.41: 005","Armenian Manuscripts","ark:/21198/zz00279n8b","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_005.tif","5","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279n8b",""
"Manuscript No.41: 006","Armenian Manuscripts","ark:/21198/zz00279n9v","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_006.tif","6","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279n9v",""
"Manuscript No.41: 007","Armenian Manuscripts","ark:/21198/zz00279nbc","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_007.tif","7","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nbc",""
"Manuscript No.41: 008","Armenian Manuscripts","ark:/21198/zz00279ncw","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_008.tif","8","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279ncw",""
"Manuscript No.41: 009","Armenian Manuscripts","ark:/21198/zz00279ndd","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_009.tif","9","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279ndd",""
"Manuscript No.41: 010","Armenian Manuscripts","ark:/21198/zz00279nfx","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_010.tif","10","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nfx",""
"Manuscript No.41: 011","Armenian Manuscripts","ark:/21198/zz00279ngf","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_011.tif","11","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279ngf",""
"Manuscript No.41: 012","Armenian Manuscripts","ark:/21198/zz00279nhz","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_012.tif","12","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nhz",""
"Manuscript No.41: 013","Armenian Manuscripts","ark:/21198/zz00279njg","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_013.tif","13","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279njg",""
"Manuscript No.41: 014","Armenian Manuscripts","ark:/21198/zz00279nk0","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_014.tif","14","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nk0",""
"Manuscript No.41: 015","Armenian Manuscripts","ark:/21198/zz00279nmh","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_015.tif","15","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nmh",""
"Manuscript No.41: 016","Armenian Manuscripts","ark:/21198/zz00279nn1","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_016.tif","16","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nn1",""
"Manuscript No.41: 017","Armenian Manuscripts","ark:/21198/zz00279npj","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_017.tif","17","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279npj",""
"Manuscript No.41: 018","Armenian Manuscripts","ark:/21198/zz00279nq2","ark:/21198/zz0026w2k0","Page","","armenian/masters/ms_41/ms_41_018.tif","18","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00279nq2",""
