"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 53: 0001","Armenian Manuscripts","ark:/21198/zz0028wzc8","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0001.tif","1","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzc8",""
"Manuscript No. 53: 0002","Armenian Manuscripts","ark:/21198/zz0028wzds","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0002.tif","2","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzds",""
"Manuscript No. 53: 0003","Armenian Manuscripts","ark:/21198/zz0028wzf9","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0003.tif","3","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzf9",""
"Manuscript No. 53: 0004","Armenian Manuscripts","ark:/21198/zz0028wzgt","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0004.tif","4","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzgt",""
"Manuscript No. 53: 0005","Armenian Manuscripts","ark:/21198/zz0028wzhb","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0005.tif","5","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzhb",""
"Manuscript No. 53: 0006","Armenian Manuscripts","ark:/21198/zz0028wzjv","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0006.tif","6","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzjv",""
"Manuscript No. 53: 0007","Armenian Manuscripts","ark:/21198/zz0028wzkc","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0007.tif","7","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzkc",""
"Manuscript No. 53: 0008","Armenian Manuscripts","ark:/21198/zz0028wzmw","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0008.tif","8","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzmw",""
"Manuscript No. 53: 0009","Armenian Manuscripts","ark:/21198/zz0028wznd","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0009.tif","9","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wznd",""
"Manuscript No. 53: 0010","Armenian Manuscripts","ark:/21198/zz0028wzpx","ark:/21198/zz0026w30p","Page","","armenian/masters/ms_53/ms_53_0010.tif","10","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028wzpx",""
