"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.42: 022","Armenian Manuscripts","ark:/21198/zz00271nvj","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_022.tif","22","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nvj",""
"Manuscript No.42: 023","Armenian Manuscripts","ark:/21198/zz00271nw2","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_023.tif","23","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nw2",""
"Manuscript No.42: 024","Armenian Manuscripts","ark:/21198/zz00271nxk","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_024.tif","24","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nxk",""
"Manuscript No.42: 025","Armenian Manuscripts","ark:/21198/zz00271nz3","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_025.tif","25","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271nz3",""
"Manuscript No.42: 026","Armenian Manuscripts","ark:/21198/zz00271p03","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_026.tif","26","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p03",""
"Manuscript No.42: 027","Armenian Manuscripts","ark:/21198/zz00271p1m","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_027.tif","27","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p1m",""
"Manuscript No.42: 028","Armenian Manuscripts","ark:/21198/zz00271p24","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_028.tif","28","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p24",""
"Manuscript No.42: 029","Armenian Manuscripts","ark:/21198/zz00271p3n","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_029.tif","29","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p3n",""
"Manuscript No.42: 030","Armenian Manuscripts","ark:/21198/zz00271p45","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_030.tif","30","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p45",""
"Manuscript No.42: 031","Armenian Manuscripts","ark:/21198/zz00271p5p","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_031.tif","31","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p5p",""
"Manuscript No.42: 032","Armenian Manuscripts","ark:/21198/zz00271p66","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_032.tif","32","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p66",""
"Manuscript No.42: 033","Armenian Manuscripts","ark:/21198/zz00271p7q","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_033.tif","33","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p7q",""
"Manuscript No.42: 034","Armenian Manuscripts","ark:/21198/zz00271p87","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_034.tif","34","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p87",""
"Manuscript No.42: 035","Armenian Manuscripts","ark:/21198/zz00271p9r","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_035.tif","35","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271p9r",""
"Manuscript No.42: 036","Armenian Manuscripts","ark:/21198/zz00271pb8","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_036.tif","36","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pb8",""
"Manuscript No.42: 037","Armenian Manuscripts","ark:/21198/zz00271pcs","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_037.tif","37","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pcs",""
"Manuscript No.42: 038","Armenian Manuscripts","ark:/21198/zz00271pd9","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_038.tif","38","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271pd9",""
