"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.170/766: cover","Armenian Manuscripts","ark:/21198/zz002hkc5t","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkc5t_2268117_master.tif","1","text","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkc5t",""
"Manuscript No.170/766: inside front cover","Armenian Manuscripts","ark:/21198/zz002hkc6b","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkc6b_2268120_master.tif","2","text","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkc6b",""
"Manuscript No.170/766: 003","Armenian Manuscripts","ark:/21198/zz002hkc7v","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkc7v_2268139_master.tif","3","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkc7v",""
"Manuscript No.170/766: 004","Armenian Manuscripts","ark:/21198/zz002hkc8c","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkc8c_2268142_master.tif","4","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkc8c",""
"Manuscript No.170/766: 005","Armenian Manuscripts","ark:/21198/zz002hkc9w","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkc9w_2268145_master.tif","5","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkc9w",""
"Manuscript No.170/766: 006","Armenian Manuscripts","ark:/21198/zz002hkcbd","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcbd_2268148_master.tif","6","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcbd",""
"Manuscript No.170/766: 007","Armenian Manuscripts","ark:/21198/zz002hkccx","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkccx_2268151_master.tif","7","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkccx",""
"Manuscript No.170/766: 008","Armenian Manuscripts","ark:/21198/zz002hkcdf","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcdf_2268154_master.tif","8","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcdf",""
"Manuscript No.170/766: 009","Armenian Manuscripts","ark:/21198/zz002hkcfz","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcfz_2268157_master.tif","9","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcfz",""
"Manuscript No.170/766: 010","Armenian Manuscripts","ark:/21198/zz002hkcgg","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcgg_2268160_master.tif","10","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcgg",""
"Manuscript No.170/766: 011","Armenian Manuscripts","ark:/21198/zz002hkch0","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkch0_2268163_master.tif","11","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkch0",""
"Manuscript No.170/766: 012","Armenian Manuscripts","ark:/21198/zz002hkcjh","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcjh_2268166_master.tif","12","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcjh",""
"Manuscript No.170/766: 013","Armenian Manuscripts","ark:/21198/zz002hkck1","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkck1_2268169_master.tif","13","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkck1",""
"Manuscript No.170/766: 014","Armenian Manuscripts","ark:/21198/zz002hkcmj","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcmj_2268172_master.tif","14","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcmj",""
"Manuscript No.170/766: 015","Armenian Manuscripts","ark:/21198/zz002hkcn2","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcn2_2268175_master.tif","15","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcn2",""
"Manuscript No.170/766: 016","Armenian Manuscripts","ark:/21198/zz002hkcpk","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcpk_2268178_master.tif","16","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcpk",""
"Manuscript No.170/766: 017","Armenian Manuscripts","ark:/21198/zz002hkcq3","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcq3_2268181_master.tif","17","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcq3",""
"Manuscript No.170/766: 018","Armenian Manuscripts","ark:/21198/zz002hkcrm","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcrm_2268213_master.tif","18","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcrm",""
"Manuscript No.170/766: 019","Armenian Manuscripts","ark:/21198/zz002hkcs4","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkcs4_2268216_master.tif","19","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkcs4",""
"Manuscript No.170/766: 020","Armenian Manuscripts","ark:/21198/zz002hkctn","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkctn_2268219_master.tif","20","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkctn",""
"Manuscript No.170/766: 021","Armenian Manuscripts","ark:/21198/zz002hkfn1","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfn1_2268222_master.tif","21","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfn1",""
"Manuscript No.170/766: 022","Armenian Manuscripts","ark:/21198/zz002hkfpj","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfpj_2268225_master.tif","22","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfpj",""
"Manuscript No.170/766: 023","Armenian Manuscripts","ark:/21198/zz002hkfq2","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfq2_2268228_master.tif","23","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfq2",""
"Manuscript No.170/766: 024","Armenian Manuscripts","ark:/21198/zz002hkfrk","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfrk_2268231_master.tif","24","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfrk",""
"Manuscript No.170/766: 025","Armenian Manuscripts","ark:/21198/zz002hkfs3","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfs3_2268234_master.tif","25","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfs3",""
"Manuscript No.170/766: 026","Armenian Manuscripts","ark:/21198/zz002hkftm","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkftm_2268237_master.tif","26","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkftm",""
"Manuscript No.170/766: 027","Armenian Manuscripts","ark:/21198/zz002hkfv4","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfv4_2268240_master.tif","27","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfv4",""
"Manuscript No.170/766: 028","Armenian Manuscripts","ark:/21198/zz002hkfwn","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfwn_2268243_master.tif","28","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfwn",""
"Manuscript No.170/766: 029","Armenian Manuscripts","ark:/21198/zz002hkfx5","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfx5_2268246_master.tif","29","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfx5",""
"Manuscript No.170/766: 030","Armenian Manuscripts","ark:/21198/zz002hkfzp","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkfzp_2268249_master.tif","30","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkfzp",""
"Manuscript No.170/766: 031","Armenian Manuscripts","ark:/21198/zz002hkg0p","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkg0p_2268252_master.tif","31","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkg0p",""
"Manuscript No.170/766: 032","Armenian Manuscripts","ark:/21198/zz002hkg16","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkg16_2268255_master.tif","32","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkg16",""
"Manuscript No.170/766: 033","Armenian Manuscripts","ark:/21198/zz002hkg2q","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkg2q_2268258_master.tif","33","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkg2q",""
"Manuscript No.170/766: 034","Armenian Manuscripts","ark:/21198/zz002hkg37","ark:/21198/zz002hkc49","Page","","armenian/masters/21198-zz002hkg37_2268261_master.tif","34","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkg37",""
