"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 10: page 1","Armenian Manuscripts","ark:/21198/zz002766vh","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_001.tif","1","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002766vh",""
"Manuscript No. 10: page 2","Armenian Manuscripts","ark:/21198/zz002766w1","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_002.tif","2","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002766w1",""
"Manuscript No. 10: page 3","Armenian Manuscripts","ark:/21198/zz002766xj","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_003.tif","3","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002766xj",""
"Manuscript No. 10: page 4","Armenian Manuscripts","ark:/21198/zz002766z2","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_004.tif","4","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002766z2",""
"Manuscript No. 10: page 5","Armenian Manuscripts","ark:/21198/zz00276702","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_005.tif","5","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00276702",""
"Manuscript No. 10: page 6","Armenian Manuscripts","ark:/21198/zz0027671k","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_006.tif","6","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027671k",""
"Manuscript No. 10: page 7","Armenian Manuscripts","ark:/21198/zz00276723","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_007.tif","7","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00276723",""
"Manuscript No. 10: page 8","Armenian Manuscripts","ark:/21198/zz0027673m","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_008.tif","8","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027673m",""
"Manuscript No. 10: page 9","Armenian Manuscripts","ark:/21198/zz00276744","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_009.tif","9","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00276744",""
"Manuscript No. 10: page 10","Armenian Manuscripts","ark:/21198/zz0027675n","ark:/21198/zz0026hv4f","Page","","armenian/masters/ms_10/ms_10_010.tif","10","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027675n",""
