"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Subject","Description.note","Summary","Title","Alt ID.local","Opac URL","Finding Aid URL","IIIF Manifest URL"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz0015w1zd","","10","Completed with minimal metadata","Collection","","","","","","","","private","","","","Sleepy Lagoon Defense Committee--Archives.|~|Sleepy Lagoon Trial, Los Angeles, Calif., 1942-1943.|~|Mexican American youth--California--Los Angeles.|~|Civil rights--California--Los Angeles.|~|Los Angeles (Calif.)--Race relations.","The collection contains correspondence, publications, publicity materials, radio scripts, office records, a transcript of the Sleepy Lagoon trial, and research materials including articles about Mexicans and Mexican Americans in Los Angeles. Portions of the collection are in Spanish.","The Sleepy Lagoon Defense Committee (first known as the Citizens' Committee for the Defense of Mexican American Youth) was organized in October 1942 in response to the indictment of 22 young men for murder; all defendants but one were Mexican American; 12 defendants were convicted of first degree murder by Superior Court of Los Angeles County; Sleepy Lagoon Defense Committee raised funds for the appeal of the case and roused public opinion through education and publicity programs; judgments and decisions of the lower court were reversed by the District Court of Appeal of the state of California, 2nd Appellate District, October 4, 1944.In August 1942, 22 defendants, all Mexican Americans but one, were indicted by the grand jury of Los Angeles county for the murder of José Diaz, whose death occurred at a party on the Williams ranch in the city of Los Angeles near a little pond called the Sleepy Lagoon. 12 were convicted of first degree murder by the Superior Court of Los Angeles County; the case was appealed to the District Court of Appeal of the state of California, 2nd Appellate District, where the judgments and decisions of the lower court were reversed (October 4, 1944). ","Sleepy Lagoon Defense Committee Records, 1942-1945","Collection 107","https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2976921","https://oac.cdlib.org/findaid/ark:/13030/tf3b69n8z8/","https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz0015w1zd"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqg49","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","1","","","","paged","","private","","text","unknown","","","","Box 1, Folder 1. Sleepy Lagoon Defense Committee's Publicity Regarding Case, News Releases","uclamss_107_b01_f01","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqg49/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqpmf","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","2","","","","paged","","private","","text","unknown","","","","Box 1, Folder 2. Sleepy Lagoon Defense Committee's Publicity Regarding Case, News Releases. Preliminary drafts and carbon copies","uclamss_107_b01_f02","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqpmf/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqrrg","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","3","","","","paged","","private","","text","unknown","","","","Box 1, Folder 3. Publicity Regarding Case. Publicity stories concerning case.","uclamss_107_b01_f03","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqrrg/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqs0k","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","4","","","","paged","","private","","text","unknown","","","","Box 1, Folder 4. Publicity Regarding Case. Publicity stories written by Alice Greenfield.","uclamss_107_b01_f04","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqs0k/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqsc8","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","5","","","","paged","","private","","text","unknown","","","","Box 1, Folder 5. Publicity Regarding Case. Publicity stories.","uclamss_107_b01_f05","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqsc8/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqsrz","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","6","","","","paged","","private","","text","unknown","","","","Box 1, Folder 6. Publicity Regarding Case. Radio scripts.","uclamss_107_b01_f06","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqsrz/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqtsz","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","7","","","","paged","","private","","text","unknown","","","","Box 1, Folder 7.Publicity Regarding Case. Text of speeches.","uclamss_107_b01_f07","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqtsz/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqw01","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","8","","","","paged","","private","","text","unknown","","","","Box 1, Folder 8. Publicity Regarding Case. Publicity work with labor unions.","uclamss_107_b01_f08","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqw01/manifest"
"Sleepy Lagoon Defense Committee Records, 1942-1945","ark:/21198/zz002dqzrc","ark:/21198/zz0015w1zd","10","Completed with minimal metadata","Work","","9","","","","paged","","private","","text","unknown","","","","Box 1, Folder 9. Publicity Regarding Case.  Publicity regarding defense committee publications.","uclamss_107_b01_f09","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dqzrc/manifest"
