Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,viewingHint,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Subject,Type.genre,Coverage.geographic,Name.photographer,Name.creator,Author,Name.repository,Format.medium,Format.dimensions,Format.extent,Title,Alt ID.local,Description,Date.normalized,Date.creation,Alt ID.oclc,Publisher.publisherName,Date.publication,Publisher.placeOfOrigin,Description.biographicalNote,Description.abstract,Opac url,Finding Aid URL,Thumbnail,IIIF Manifest URL
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dwsww,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-001_002_003,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d525ks,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwsww/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dwt40,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-007_008_009,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0p73,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwt40/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dwt9k,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-010_011_012,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w684fj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwt9k/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcgs,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-013_014_015,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6mx6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzcgs/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzch9,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-122_123_124,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c554h9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzch9/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzckb,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-092_093_094,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3n3q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzckb/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcpw,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-128_129_130,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v71388,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzcpw/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcrx,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-086_087_088,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9kst,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzcrx/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcvg,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-134_135_136,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b583ft,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzcvg/manifest
Friedlander (Jonathan) Collection of Middle Eastern Americana,ark:/21198/zz001dzcxh,ark:/21198/zz0009rghf,2,Completed,Work,,,individuals,,,still image,copyrighted,,,,,,,,,,,,AO-3D-080_081_082,,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r59cn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dzcxh/manifest
