File Name,Parent ARK,Item ARK,Object Type,Item Sequence,Title,Visibility,AltTitle.other,Type.typeOfResource,Date.creation,Date.normalized,Name.architect,Artist,Author,Name.creator,Name.photographer,Photocopier,Creator 1 Source|~|Creator 2 Source,Description.note,Description.abstract,Format.extent,Description.caption,Rights.copyrightStatus,Copyright Statement,Rights.rightsHolderName,Copyright Holder 1 Source,Rights.servicesContact,Series,Sub-series,Name.subject,Subject.name Role,Subject.name Source,Subject topic,Subject.topic Source,Subject place,Place Source,Description.latitude,Description.longitude,Type.genre,Genre Source,Source?,Physical Location,Thumbnail,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_009b.tif,ark:/21198/z1087pw7,ark:/21198/z1sf4d74,Page,4,"Biographical note about Robert Owens, Sr., p. 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4d74,
Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_018.tif,ark:/21198/z1087pw7,ark:/21198/z1mp6m77,Page,1,"Biographical note about Robert Owens, Sr., p. 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6m77,
Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_019.tif,ark:/21198/z1087pw7,ark:/21198/z1gx5vhh,Page,2,"Biographical note about Robert Owens, Sr., p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx5vhh,
Masters/othermasters/dl_miriammatthews/box02/uclalsc_1889_b02_f02_020.tif,ark:/21198/z1087pw7,ark:/21198/z1c553vc,Page,3,"Biographical note about Robert Owens, Sr., p. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c553vc,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_001a.tif,ark:/21198/z1vh76cw,ark:/21198/z1mk7wwd,Page,2,"Freedom Papers of Biddy Mason, p. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk7wwd,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_002a.tif,ark:/21198/z1vh76cw,ark:/21198/z1gt757c,Page,3,"Freedom Papers of Biddy Mason, p. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt757c,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_003a.tif,ark:/21198/z1vh76cw,ark:/21198/z1c26dgh,Page,4,"Freedom Papers of Biddy Mason, p. 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26dgh,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_004a.tif,ark:/21198/z1vh76cw,ark:/21198/z1795nnf,Page,5,"Freedom Papers of Biddy Mason, p. 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795nnf,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_005a.tif,ark:/21198/z1vh76cw,ark:/21198/z13j4wxq,Page,6,"Freedom Papers of Biddy Mason, p. 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j4wxq,
Masters/othermasters/dl_miriammatthews/box03/uclalsc_1889_b03_f03_006a.tif,ark:/21198/z1vh76cw,ark:/21198/z1zs4dg8,Page,7,"Freedom Papers of Biddy Mason, p. 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4dg8,
