"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Description.abstract","Coverage.geographic","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Relation.textDirection","Format.extent","thumbnailImageName","masterImageName"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw54f","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw54f_2290146_master.tif","1","","","","","","","","","","","","","","Front cover","","","","","","","","","","","","","","","","21198-zz002hw54f_2290146_thumbnail.jpg","21198-zz002hw54f_2290146_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw55z","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw55z_2290149_master.tif","2","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","21198-zz002hw55z_2290149_thumbnail.jpg","21198-zz002hw55z_2290149_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw56g","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw56g_2290152_master.tif","3","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","21198-zz002hw56g_2290152_thumbnail.jpg","21198-zz002hw56g_2290152_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw570","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw570_2290155_master.tif","4","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","21198-zz002hw570_2290155_thumbnail.jpg","21198-zz002hw570_2290155_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw58h","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw58h_2290158_master.tif","5","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","21198-zz002hw58h_2290158_thumbnail.jpg","21198-zz002hw58h_2290158_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw591","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw591_2290161_master.tif","6","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","21198-zz002hw591_2290161_thumbnail.jpg","21198-zz002hw591_2290161_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw5bj","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw5bj_2290164_master.tif","7","","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","21198-zz002hw5bj_2290164_thumbnail.jpg","21198-zz002hw5bj_2290164_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw5c2","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw5c2_2290167_master.tif","8","","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","21198-zz002hw5c2_2290167_thumbnail.jpg","21198-zz002hw5c2_2290167_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw5dk","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw5dk_2290170_master.tif","9","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","21198-zz002hw5dk_2290170_thumbnail.jpg","21198-zz002hw5dk_2290170_master.tif"
"Medieval and Renaissance Manuscripts","ark:/21198/zz002hw5f3","ark:/21198/zz002hw53x","2","Completed","Page","medren/masters/21198-zz002hw5f3_2290173_master.tif","10","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","21198-zz002hw5f3_2290173_thumbnail.jpg","21198-zz002hw5f3_2290173_master.tif"
