"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Title","Alt ID.local","Description.note","Date.creation","AltTitle.descriptive","Bucketeer State","IIIF Access URL"
"Hood (Mantle) papers","ark:/21198/zz002bbz6b/7k784237","ark:/21198/zz002bbz6b","","","Page","mantlehood/image/srgb/21198-zz002bbz6b_2001208_master.tif","2","","","","still image","Page 2","Second of two pages.","cleth_201103_omd_folder001_item02_side2_pm.tif","1957-09-23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bbz6b%2F7k784237"
"Hood (Mantle) papers","ark:/21198/zz002bbz6b/r789s00s","ark:/21198/zz002bbz6b","","","Page","mantlehood/image/srgb/21198-zz002bbz6b_2001205_master.tif","1","","","","still image","Page 1","page 1 0f 2.","cleth_201103_omd_folder001_item02_side1_pm.tif","1957-09-23","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bbz6b%2Fr789s00s"
