Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Title,Alt ID.local,Description.note,Date.creation,AltTitle.descriptive,,
Hood (Mantle) papers,ark:/21198/zz002bc01p/wd47tx97,ark:/21198/zz002bc01p,,,Page,mantlehood/text/21198-zz002bc01p-1-master.md5,2,,,,,Page 2,,,,,,MD5 file
Hood (Mantle) papers,ark:/21198/zz002bbzh0,ark:/21198/zz002b21fb,1,In progress,Work,mantlehood/image/21198-zz002bbzh0_2001217_master.tif,,YES,,,still image,Letter to Mantle Hood,cleth_201103_omd_folder001_item02_side2_pm.tif,Second of two pages.,1957-09-23,,,Duplicate
Hood (Mantle) papers,ark:/21198/zz002bctp3,ark:/21198/zz002b21fb,1,In progress,Work,mantlehood/image/srgb/21198-zz002bctp3_2003435_master.tif,,,,,still image,Letters regarding Rockefeller foundation grant; 2 photographs,cleth_201103_omd_folder023_item11_pm.tif,b/w photograph of Mantle Hood and son (1),1958,,failed,corrupt?
Hood (Mantle) papers,ark:/21198/zz002bctqm,ark:/21198/zz002b21fb,1,In progress,Work,mantlehood/image/srgb/21198-zz002bctqm_2003438_master.tif,,,,,still image,Letters regarding Rockefeller foundation grant; 2 photographs,cleth_201103_omd_folder023_item12_pm.tif,b/w photograph of Mantle  Hood and son (2),1958,,failed,corrupt?
