Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,AltTitle.other,Title,Alt ID.local,Description.note,Subject,Genre,Language,Name.subject,Creator,Name.repository,Date.normalized,Date.creation,Relation.isPartOf,AltTitle.descriptive,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Hood (Mantle) papers,ark:/21198/zz002bc4v1,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc4v1_2001823_master.tif,,,,,,still image,,Letter to Mr. and Mrs. Mantle Hood,cleth_201103_omd_folder005_item02_side2_pm.tif,Side 2.,,letters (correspondence),eng,,,"University of California, Los Angeles. Ethnomusicology Archive",1958-06-28,"June 28, 1958","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc4v1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc4v1/manifest
Hood (Mantle) papers,ark:/21198/zz002bc4wj,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc4wj_2001826_master.tif,,,,,,still image,,Materials from Radio Republik Indonesia,cleth_201103_omd_folder006_item01_pm.tif,First of four documents. Titled: Balai Bahasa Inggeris.,,documents (object genre),ind,Radio Republik Indonesia,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc4wj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc4wj/manifest
Hood (Mantle) papers,ark:/21198/zz002bc4x2,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc4x2_2001829_master.tif,,,,,,still image,,Materials from Radio Republik Indonesia,cleth_201103_omd_folder006_item02_pm.tif,Second of four documents.,,envelopes,ind|~|eng,Radio Republik Indonesia,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc4x2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc4x2/manifest
Hood (Mantle) papers,ark:/21198/zz002bc4zk,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc4zk_2001834_master.tif,,,,,,still image,,Materials from Radio Republik Indonesia,cleth_201103_omd_folder006_item03_pm.tif,Third of four documents.,,notes (document),ind,Radio Republik Indonesia,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc4zk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc4zk/manifest
Hood (Mantle) papers,ark:/21198/zz002bc50k,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc50k_2001837_master.tif,,,,,,still image,,Materials from Radio Republik Indonesia,cleth_201103_omd_folder006_item04_pm.tif,"Fourth of four documents. Dated June 4, 1957.",,letters (correspondence),ind,Radio Republik Indonesia,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc50k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc50k/manifest
Hood (Mantle) papers,ark:/21198/zz002bc52m,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc52m_2001840_master.tif,,,,,,still image,,Typewritten letter to Mantle Hood,cleth_201103_omd_folder007_item02_pm.tif,Second of three documents.,,letters (correspondence),eng,,,"University of California, Los Angeles. Ethnomusicology Archive",1957-11-14,"November 14, 1957","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc52m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc52m/manifest
Hood (Mantle) papers,ark:/21198/zz002bc534,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc534_2001844_master.tif,,,,,,still image,,Typewritten letter to Mantle Hood,cleth_201103_omd_folder007_item03_pm.tif,Third of three documents.,,letters (correspondence),eng,,,"University of California, Los Angeles. Ethnomusicology Archive",1957-11-14,"November 14, 1957","Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc534,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc534/manifest
Hood (Mantle) papers,ark:/21198/zz002bc54n,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc54n_2001849_master.tif,,,,,,still image,,"Receipts from Indonesia, list of  terompong",cleth_201103_omd_folder008_item01_pm.tif,First of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc54n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc54n/manifest
Hood (Mantle) papers,ark:/21198/zz002bc555,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc555_2001852_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item02_pm.tif,Second of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc555,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc555/manifest
Hood (Mantle) papers,ark:/21198/zz002bc56p,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc56p_2001855_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item03_pm.tif,Third of 11 documents: list of terompong.,Musical instruments--Indonesia,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc56p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc56p/manifest
Hood (Mantle) papers,ark:/21198/zz002bc576,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc576_2001858_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item04_side1_pm.tif,"Fourth of  11 documents, side 1.",,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc576,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc576/manifest
Hood (Mantle) papers,ark:/21198/zz002bc58q,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc58q_2001861_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item04_side2_pm.tif,"Fourth of 11 documents, side 2.",,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc58q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc58q/manifest
Hood (Mantle) papers,ark:/21198/zz002bc597,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc597_2001864_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item05_pm.tif,Fifth of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc597,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc597/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5br,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5br_2001867_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item06_pm.tif,Sixth of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5br,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5br/manifest
Hood (Mantle) papers,ark:/21198/zz002bc5c8,ark:/21198/zz002b21fb,2,Completed,Work,mantlehood/image/srgb/21198-zz002bc5c8_2001870_master.tif,,,,,,still image,,"Receipts from Indonesia, list of terompong",cleth_201103_omd_folder008_item07_pm.tif,Seventh of 11 documents.,,receipts (financial records),ind,,,"University of California, Los Angeles. Ethnomusicology Archive",1958,1958,"Mantle Hood Papers. Ethnomusicology Archive, Department of Ethnomusicology, UCLA",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bc5c8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bc5c8/manifest
