"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Title","Date.creation","Description.note"
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz0014sd52","","2","Completed","Collection","|~||~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif","","","","still image","Misc. Manuscripts Collection. Collection 100","",""
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00152n80","ark:/21198/zz0014sd52","2","Completed","Work","miscmancoll100/masters/21198-zz00152n80-2-master.tif|~|miscmancoll100/masters/21198-zz00152n80-2-master.tif|~|miscmancoll100/masters/21198-zz00152n80-2-master.tif|~|miscmancoll100/masters/21198-zz00152n80-2-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif","2","","","","Edgeworth, Richard Lovell ALS to ""Sir""|~|Edgeworth, Richard Lovell ALS to ""Sir""","January 12, 1815|~|January 12, 1815","Regarding possible visit of Madame de Stael to Edgeworthstown, Ireland.|~|Regarding possible visit of Madame de Stael to Edgeworthstown, Ireland."
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153gxv","ark:/21198/zz0014sd52","2","Completed","Work","miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif","3","","","","Edgeworth, Richard Lovell ALS to ""My Dear Madam""|~|Edgeworth, Richard Lovell ALS to ""My Dear Madam""","February 19, 1817|~|February 19, 1817",""
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153gzc","ark:/21198/zz0014sd52","2","Completed","Work","miscmancoll100/masters/21198-zz00153gzc-2-master.tif|~|miscmancoll100/masters/21198-zz00153gzc-2-master.tif|~|miscmancoll100/masters/21198-zz00153gzc-2-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif","4","","","","Edgeworth, Richard Lovell ALS to ""My Dear Sir""|~|Edgeworth, Richard Lovell ALS to ""My Dear Sir""","June 6, 1817|~|June 6, 1817",""
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz00153h0c","ark:/21198/zz0014sd52","2","Completed","Work","miscmancoll100/masters/21198-zz00153h0c-3-master.tif|~|miscmancoll100/masters/21198-zz00153h0c-3-master.tif|~|miscmancoll100/masters/21198-zz00153h0c-3-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif","5","","","","Edgeworth, Richard Lovell ALS to Thomas Edgeworth|~|Edgeworth, Richard Lovell ALS to Thomas Edgeworth|~|Edgeworth, Richard Lovell ALS to Thomas Edgeworth","September 10, 1798|~|September 10, 1798|~|September 10, 1798",""
"Misc. Manuscripts Collection. Collection 100","ark:/21198/zz0015xqx0","ark:/21198/zz0014sd52","1","In progress","Work","miscmancoll100/masters/21198-zz0015xqx0-1-master.tif|~|miscmancoll100/masters/21198-zz0015xqx0-1-master.tif|~|miscmancoll100/masters/21198-zz0015xqx0-1-master.tif|~|miscmancoll100/masters/21198-zz0015xqx0-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif|~|miscmancoll100/masters/21198-zz00153gxv-1-master.tif","6","","","text|~|text|~|text","Smith, J. A. ALS to ""Sir""|~|Smith, J. A. ALS to ""Sir""|~|Smith, J. A. ALS to ""Sir""","April 21, 1814|~|April 21, 1814|~|April 21, 1814",""
