"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Rights.copyrightStatus","Rights.publicationStatus","Language","Type.typeOfResource","Type.genre","Subject.conceptTopic","Subject geographic","Name.creator","Name.repository","Coverage.geographic","Title","Alt ID.local","Date.creation","Date.normalized","Description.fundingNote","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Description.note","Coverage.geoscale","AltTitle.translated","AltTitle.descriptive","Alt ID.lccn","Alt ID.oclc","Alt ID.url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1rj","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_10_ED1.tif","1","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1260000|~|easternmost: E1280000|~|southernmost: N0480000|~|northernmost: N0490000","Pei-An","G7830S_250_U51_NH52_10_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1rj",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1s2","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_11_ED1.tif","2","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1280000|~|easternmost: E1300000|~|northernmost: N0490000|~|southernmost: N0480000","Ma-Ha-La Shan","G7830S_250_U51_NH52_11_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1s2",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1tk","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_12_ED1.tif","3","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1300000|~|easternmost: E1320000|~|northernmost: N0490000|~|southernmost: N0480000","Fo-Shan","G7830S_250_U51_NH52_12_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1tk",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1v3","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_1_ED1.tif","4","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1260000|~|northernmost: N0520000|~|southernmost: N0510000|~|easternmost: E1280000","Hu-Ma","G7830S_250_U51_NH52_1_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1v3",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1wm","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_4_ED1.tif","5","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1260000|~|easternmost: E1280000|~|northernmost: N0510000|~|southernmost: N0500000","Blagoveshchensk","G7830S_250_U51_NH52_4_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1wm",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1x4","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_7_ED1.tif","6","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1260000|~|eastermost: E1280000|~|northernmost: N0500000|~|southernmost: N0490000","Sun-Wu","G7830S_250_U51_NH52_7_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1x4",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd1zn","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH52_8_ED1.tif","7","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1280000|~|easternmost: E1300000|~|northernmost: N0500000|~|southernmost: N0490000","CH'i-K'o","G7830S_250_U51_NH52_8_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd1zn",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd20n","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH53_10_ED1.tif","8","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","westernmost: E1320000|~|easternmost: E1340000|~|northernmost: N0490000|~|southernmost: N0480000","Birobidzhan","G7830S_250_U51_NH53_10_ED1","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd20n",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd215","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH53_11_ED1_A.tif","9","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","northernmost: N0490000|~|westernmost: E1340000|~|easternmost: E1360000|~|southernmost: N0480000","Khabarovsk (Front)","G7830S_250_U51_NH53_11_ED1_A","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd215",""
"East Asian Maps in the Bruman Collection","ark:/21198/zz002hd215/jz50ft7j","ark:/21198/zz002hcnjp","10","Completed with minimal metadata","Page","Masters/Maps/east_asian_maps/image/G7830S_250_U51/G7830S_250_U51_NH53_11_ED1_B.tif","10","","","","pd","","","cartographic","map","","","","University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection","northernmost: N0490000|~|westernmost: E1340000|~|easternmost: E1360000|~|southernmost: N0480000","Khabarovsk (Back)","G7830S_250_U51_NH53_11_ED1_B","","","Access to this collection is generously supported by Sammy Yukuan Lee Foundation.","","","","1st ed.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hd215%2Fjz50ft7j",""
