"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wj9g","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wj9g_743335_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wj9g",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wjfj","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wjfj_743347_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wjfj",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wjj3","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wjj3_743354_master.tif","3","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wjj3",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wjnn","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wjnn_743365_master.tif","4","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wjnn",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wjsq","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wjsq_743370_master.tif","5","","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wjsq",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wjw8","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wjw8_743374_master.tif","6","","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wjw8",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wk1t","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wk1t_743380_master.tif","7","","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wk1t",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wk5w","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wk5w_743386_master.tif","8","","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wk5w",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wk9z","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wk9z_743392_master.tif","9","","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wk9z",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wkf1","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wkf1_743398_master.tif","10","","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wkf1",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wkjk","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wkjk_743401_master.tif","11","","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wkjk",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wkn4","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wkn4_743406_master.tif","12","","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wkn4",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wks6","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wks6_743409_master.tif","13","","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wks6",""
"Cruikshank (Margaret) Collection","ark:/21198/zz0019wkwr","ark:/21198/zz0019wdp7","2","Completed","Page","cruikshank/images/masters/21198-zz0019wkwr_743412_master.tif","14","","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019wkwr",""
