Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Type.genre,Rights.statementLocal,Rights.permission,Name.repository,Publisher.publisherName,Rights.rightsHolderContact,Name.photographer,Name.subject,Name.donor,Name.manufacturer,Name.contributor,Name.designer,Title,Format.medium,Description.note,Alt ID.local,Relation.isPartOf,Format.extent,Date.creation,Format.dimensions,Description.physicalDescription,Date.normalized,Format.technique,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Valverde (Richard) Collection,ark:/21198/zz002311v6,,1,In progress,Collection,,,,,,private,,,,,UCLA Chicano Studies Research Center Library & Archive,,,,,,,,,Valverde (Richard) Collection,,,,,,,,,,,,,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz002311v6
Valverde (Richard) Collection,ark:/21198/zz00231bz3,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00231bz3_1793928_master.tif,1,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Schoolgirl,Silver Gelatin Photograph,,CSRC_RichardValverde_0001_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231bz3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231bz3/manifest
Valverde (Richard) Collection,ark:/21198/zz00231c03,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00231c03_1793931_master.tif,2,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Glass Glide,Silver Gelatin Photograph,,CSRC_RichardValverde_0002_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231c03,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231c03/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bc1,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bc1_1793934_master.tif,3,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,"Stop Walk, from Walking Series",Silver Gelatin Photograph,,CSRC_RichardValverde_0003_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bc1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bc1/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bgk,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bgk_1793941_master.tif,6,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Moving Day,Silver Gelatin Photograph,,CSRC_RichardValverde_0006_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bgk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bgk/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bh3,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bh3_1793944_master.tif,7,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Woman and boy looking in mirror,CSRC_RichardValverde_0007_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bh3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bh3/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bjm,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bjm_1793947_master.tif,8,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Boy standing in front of woman,CSRC_RichardValverde_0008_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bjm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bjm/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bk4,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bk4_1793950_master.tif,10,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,"Untitled #5, (Hermana y Amiga), from La Familia Series",Silver Gelatin Photograph,,CSRC_RichardValverde_0010_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bk4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bk4/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bmn,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bmn_1793953_master.tif,11,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Woman sitting by plants,CSRC_RichardValverde_0011_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bmn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bmn/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bn5,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bn5_1793956_master.tif,16,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Woman sitting in front of tombstone,CSRC_RichardValverde_0016_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1976,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bn5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bn5/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bpp,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bpp_1793959_master.tif,17,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,The Knife in the Water,Silver Gelatin Photograph,,CSRC_RichardValverde_0017_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1977,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bpp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bpp/manifest
Valverde (Richard) Collection,ark:/21198/zz00253bq6,ark:/21198/zz002311v6,1,In progress,Work,valve/image/21198-zz00253bq6_1793962_master.tif,18,,,,private,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Olds 98,Silver Gelatin Photograph,,CSRC_RichardValverde_0018_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00253bq6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00253bq6/manifest
