Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.statementLocal,Rights.permission,Name.repository,Publisher.publisherName,Rights.rightsHolderContact,Name.photographer,Name.subject,Name.donor,Name.manufacturer,Name.contributor,Name.designer,Title,Format.medium,Description.note,Alt ID.local,Relation.isPartOf,Format.extent,Date.creation,Format.dimensions,Description.physicalDescription,Date.normalized,Format.technique,Opac url,Finding Aid URL,IIIF Manifest URL
Valverde (Richard) Collection,ark:/21198/zz002dwpxb,ark:/21198/zz002311v6,1,In progress,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwpxb%2Fz967ht7h,private,individuals,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Woman buys fruit at corner,CSRC_RichardValverde_0849_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwpxb/manifest
Valverde (Richard) Collection,ark:/21198/zz002dwq1c,ark:/21198/zz002311v6,1,In progress,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwq1c%2Fz771r681,private,individuals,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Self Portrait with covered face,CSRC_RichardValverde_0852_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwq1c/manifest
Valverde (Richard) Collection,ark:/21198/zz002dwq7g,ark:/21198/zz002311v6,1,In progress,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwq7g%2F2f86f354,private,individuals,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Silver Gelatin Photograph,Girls holding a piece of cake,CSRC_RichardValverde_0857_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwq7g/manifest
Valverde (Richard) Collection,ark:/21198/zz002hkd0q,ark:/21198/zz002311v6,1,In progress,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hkd0q%2Fvk59nr1p,private,individuals,still image,black-and-white photograph,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",Y,UCLA Chicano Studies Research Center Library & Archive,,"Valverde, Esperanza","Valverde, Ricardo, 1946-1998",,"Valverde, Esperanza",,,,Untitled,Black and White Photograph,Asian family in the kitchen,CSRC_RichardValverde_1024_300.tif,Ricardo Valverde Digital Image Collection,1 photograph,1970,,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hkd0q/manifest
