"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","volume/year","Publisher","Publisher.place","Date.issued (single)","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Abstract","Note.content","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_018.tif","Page","Page 18","18","ark:/21198/z13z07gn","ark:/21198/z1jq31z6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq31z6",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_019.tif","Page","Page 19","19","ark:/21198/z13z07gn","ark:/21198/z1dz299s","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz299s",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_020.tif","Page","Page 20","20","ark:/21198/z13z07gn","ark:/21198/z1961jjx","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1961jjx",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_021.tif","Page","Page 21","21","ark:/21198/z13z07gn","ark:/21198/z15h9h6x","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15h9h6x",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_022.tif","Page","Page 22","22","ark:/21198/z13z07gn","ark:/21198/z11r8rg6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8rg6",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_023.tif","Page","Page 23","23","ark:/21198/z13z07gn","ark:/21198/z1x087zr","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x087zr",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_024.tif","Page","Page 24","24","ark:/21198/z13z07gn","ark:/21198/z1s77h7f","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s77h7f",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_025.tif","Page","Page 25","25","ark:/21198/z13z07gn","ark:/21198/z1ng6rkm","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6rkm",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_026.tif","Page","Page 26","26","ark:/21198/z13z07gn","ark:/21198/z1hq60wq","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq60wq",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_027.tif","Page","Page 27","27","ark:/21198/z13z07gn","ark:/21198/z1cz585d","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz585d",""
