Project Name,Parent ARK,Item ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Name.subject,Coverage.geographic,Name.creator,Subject,Name.repository,Rights.rightsHolderName,Rights.permission,Name.photographer,Rights.rightsHolderContact,Language,Relation.isPartOf,Alt ID.local,Title,Format.dimensions,Format.extent,Date.creation,Description.note,Date.normalized,AltTitle.other,Description.abstract,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",,ark:/21198/zz001b36zk,2,Completed,Collection,,,,,still image|~|text,,,,,essays|~|Black-and-white photographs|~|speeches,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Urquhart, Brian--Archives|~|United Nations--Officials and employees",,"Urquhart, Brian",Diplomats--Archival resources,"University of California, Los Angeles. $b Library Special Collections",,,,,eng,,,"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",,48 boxes,1932-1972,,1932/1972,"Collection of material about Ralph Bunche, ca. 1932-1972.|~|Brian Urquhart collection of material about Ralph Bunche","Sir Brian Urquhart (b.1919) was active in the organization and direction of the United Nations (UN) Emergency Force in Middle East (1956) and responsible for the organization and direction of UN peace-keeping operations and special political assignments. Ralph Bunche (1904-1971) was the undersecretary for special political affairs at the UN (1958-67) and undersecretary general (1968). He was awarded the Nobel Peace Prize in 1950. The collection consists of papers of, about, and collected by Ralph J. Bunche and later used by Brian Urquhart to write Ralph Bunche: an American Life (1993).",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4233917,,,https://iiif.library.ucla.edu/collections/ark%3A%2F21198%2Fzz001b36zk
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001b8z20,2,Completed,Work,urquhart/masters/21198-zz001b8z20_743764_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",Gaza Strip,,,"University of California, Los Angeles. $b Library Special Collections",UN Photo,Y,United Nations,"United Nations Publications 2 UN Plaza, DC2 Room 856 New York, NY 10017, USA",,http://calcultures.cdlib.com,uclamss_364_b14_f1_1|~|clusc_1_1_00018158a,United Nations Under-Secretary Bunche comes to Gaza,20.5 x 25.3 cm,1 photograph: b&w,1957,"""UN 53656 -- Gaza, 11 March 1957 -- U.N. Under-Secretary Ralph Bunche today came to Gaza for a 24-hour visit. He is shown here stepping off his plane, after arriving by air from Abu Suweir, the base camp of the U.N. Emergency Force (UNEF) in Egypt. He was accompanied by Maj. Gen. E.L.M. Burns, Commander of UNEF. Dr. Bunche will visit some of the units in the Gaza area he will also confer with staff officers of the Force and officials of the U.N. Relief & Works Agency for Palestine Refugees (UNRWA).""|~|Digitization took place as part of the California Cultures Project.",1957,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001b8z20,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001b8z20/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bgqh1,2,Completed,Work,urquhart/masters/21198-zz001bgqh1_744259_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Howard University",,,African American scholars,"University of California, Los Angeles. $b Library Special Collections",,,,,,http://calcultures.cdlib.org,clusc_1_1_00018163a|~|uclamss_364_b35_f2_1,"Participants of a conference at Howard University, April 1932",18 x 24 cm.,1 photograph : b&w,April 1932,Digitization took place as part of the California Cultures Project.,1932-04,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bgqh1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bgqh1/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bh961,2,Completed,Work,urquhart/masters/21198-zz001bh961_744373_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations. General Assembly",London (England),,,"University of California, Los Angeles. $b Library Special Collections",Emile Marcovitch,Y,"Marcovitch, Emile ",,,http://calcultures.cdlib.com,uclamss_364_b35_f2_2|~|clusc_1_1_00018164a,"Ralph J. Bunche at the First Session, General Assembly, United Nations, London",18 x 24 cm.,1 photograph: b&w,January 1946,Digitization took place as part of the California Cultures Project.,1946-01,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bh961,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bh961/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxrw,2,Completed,Work,urquhart/masters/21198-zz001bkxrw_744376_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Bernadotte, Folke, 1895-1948|~|Bernadotte, Estelle",New York (State),,,"University of California, Los Angeles. $b Library Special Collections",UN Photo,Y,United Nations,"United Nations Publications 2 UN Plaza, DC2 Room 856 New York, NY 10017, USA",,http://calcultures.cdlib.org,clusc_1_1_00018165a|~|uclamss_364_b35_f3_3,"Countess Estelle Bernadotte, Count Folke Bernadotte and Ralph J. Bunche at Parkway Village, New York",12.7 x 18 cm.,1 photograph: b&w,August 1948,Digitization took place as part of the California Cultures Project.,1948-08,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxrw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxrw/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxsd,2,Completed,Work,urquhart/masters/21198-zz001bkxsd_744379_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations--Palestine|~|Lundström, Åge, 1890-",Palestine--Politics and government--1948-,,Mediation - International ,"University of California, Los Angeles. $b Library Special Collections",UN Photo,Y,United Nations. Dept. of Public Information,"United Nations Publications 2 UN Plaza, DC2 Room 856 New York, NY 10017, USA",,http://calcultures.cdlib.org,"clusc_1_1_00018166a|~|uclamss_364_b35_f3_4|~|Ralph J. Bunche Papers, Box 398, folder 6","Acting U.N. Mediator, Ralph J. Bunche, in Palestine",20.2 x 25.3 cm.,1 photograph: b&w,1948,"Digitization took place as part of the California Cultures Project.|~|Dr. Ralph J. Bunche, acting U.N. Mediator for Palestine, in conference with Gen. A. Lundstrom, Chief Military Observer, in Haifa.",1948,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxsd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxsd/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxtx,2,Completed,Work,urquhart/masters/21198-zz001bkxtx_744382_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Wilkins, Roy, 1901-|~|National Association for the Advancement of Colored People|~|Moon, Henry Lee, 1901-  |~|Rogers, Will, 1911-1993",Los Angeles (Calif.),,,"University of California, Los Angeles. $b Library Special Collections",,,,,,http://calcultures.cdlib.org,clusc_1_1_00018167a|~|uclamss_364_b35_f5_5,"Ralph J. Bunche with Henry Moon, Roy Wilkins, and Will Rogers, Jr. at the 1949 NAACP Convention in Los Angeles, Calif.",20 x 25.2 cm.,1 photograph: b&w,July 1949,Digitization took place as part of the California Cultures Project.,1949-07,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxtx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxtx/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxvf,2,Completed,Work,urquhart/masters/21198-zz001bkxvf_744385_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Jahn, Gunnar, 1883-1971",Norway,,Nobel Prizes,"University of California, Los Angeles. $b Library Special Collections",,,"Valldal, Asgeir",,,http://calcultures.cdlib.org,clusc_1_1_00018168a,"Gunnar Jahn, Chairman of the Nobel Committee, and Ralph J. Bunche at the 1950 Nobel Prize presentation ceremony",19 x 14.9 cm.,1 photograph: b&w,10 December 1950,Digitization took place as part of the California Cultures Project.,1950-12-10,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxvf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxvf/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxwz,2,Completed,Work,urquhart/masters/21198-zz001bkxwz_744393_master.tif,,,,still image,,,,,Black-and-white photographs,copyrighted,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,"University of California, Los Angeles. $b Library Special Collections",Time Life Pictures,Y,"Eisenstaedt, Alfred",,,http://calcultures.cdlib.org,"clusc_1_1_00018169a|~|uclamss_364_b36_f1_1|~|Ralph J. Bunche Papers, Box 407, folder 1",Ralph J. Bunche gardening,34 x 22.3 cm.,1 photograph: b&w,"October 19, 1959",Life magazine photograph|~|Digitization took place as part of the California Cultures Project.,1959-10-19,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxwz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxwz/manifest
"Urquhart (Brian) Collection of Material about Ralph Bunche, ca. 1932-1972",ark:/21198/zz001b36zk,ark:/21198/zz001bkxxg,2,Completed,Work,urquhart/masters/21198-zz001bkxxg_744399_master.tif,,,,still image,,,,,Black-and-white photographs,unknown,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Baker, Josephine, 1906-1975|~|University of California, Los Angeles. $b Library Special Collections",,,,,,,,,,http://calcultures.cdlib.com,"uclamss_364_b36_f1_2|~|clusc_1_1_00018171a|~|Ralph J. Bunche Papers, Box 407, folder 6",Ralph J. Bunche and Josephine Baker,1 photograph : b&w  35.2 x 27.2 cm.,1 photograph: b&w,circa 1960,Digitization took place as part of the California Cultures Project.,1955/1965,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bkxxg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001bkxxg/manifest
