"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Type.genre","Type.typeOfResource","Rights.copyrightStatus","Subject","Name.subject","Name.creator","Rights.servicesContact","Language","Name.repository","Name.artist","Rights.permission","Name.photographer","Name.correspondent","Description.note","Alt ID.local","Title","Date.creation","Format.extent","Date.normalized","Coverage.geographic","Alt ID.collection","Description.caption","Alt ID.url","Summary","Relation.url","Opac url","Finding Aid URL","Alt ID.mp4","Format.medium","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Huxley (Aldous) Collection","ark:/21198/zz00255fcc/9706xw87","ark:/21198/zz00255fcc","","","Page","huxle/image/21198-zz00255fcc_1656341_master.tif","1","","","","","","","still image","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fcc%2F9706xw87",""
"Huxley (Aldous) Collection","ark:/21198/zz00255fcc/g612m12h","ark:/21198/zz00255fcc","","","Page","huxle/image/21198-zz00255fcc_1656347_master.tif","2","","","","","","","still image","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fcc%2Fg612m12h",""
