"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Finding Aid URL","Opac url","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256x60","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256x60_1662196_master.tif","11","","","text","","","private","","","","","","","","","","page 10","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256x60",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256x7h","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256x7h_1662202_master.tif","12","","","text","","","private","","","","","","","","","","page 11","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256x7h",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256x81","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256x81_1662207_master.tif","13","","","text","","","private","","","","","","","","","","page 12","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256x81",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256x9j","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256x9j_1662215_master.tif","14","","","text","","","private","","","","","","","","","","page 13","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256x9j",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xb2","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xb2_1662221_master.tif","15","","","text","","","private","","","","","","","","","","page 14","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xb2",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xck","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xck_1662227_master.tif","16","","","text","","","private","","","","","","","","","","page 15","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xck",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xd3","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xd3_1662232_master.tif","17","","","text","","","private","","","","","","","","","","page 16","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xd3",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xfm","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xfm_1662236_master.tif","18","","","text","","","private","","","","","","","","","","page 17","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xfm",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xg4","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xg4_1662241_master.tif","19","","","text","","","private","","","","","","","","","","page 18","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xg4",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xhn","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xhn_1662244_master.tif","20","","","text","","","private","","","","","","","","","","page 19","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xhn",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xj5","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xj5_1662250_master.tif","21","","","text","","","private","","","","","","","","","","page 20","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xj5",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xkp","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xkp_1662253_master.tif","22","","","text","","","private","","","","","","","","","","page 21","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xkp",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xm6","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xm6_1662256_master.tif","23","","","text","","","private","","","","","","","","","","page 22","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xm6",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xnq","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xnq_1662260_master.tif","24","","","text","","","private","","","","","","","","","","page 23","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xnq",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256xp7","ark:/21198/zz00256wtt","1","In progress","Page","orsini/masters/21198-zz00256xp7_1662265_master.tif","25","","","text","","","private","","","","","","","","","","page 24","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256xp7",""
