"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Finding Aid URL","Opac url","Finding Aid URL","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 903","ark:/21198/z1544652","ark:/21198/zz000995pv","2","Completed","Page","orsini/masters/21198-zz000995pv-1-master.tif","1","","","","","","","","","","","","","","","","Baccano_1","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1544652",""
"Orsini Family Papers.  Collection 904","ark:/21198/z11c3fgs","ark:/21198/zz000995pv","2","Completed","Page","orsini/masters/21198-zz000995pv-2-master.tif","2","","","","","","","","","","","","","","","","Baccano_2","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3fgs",""
