"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Finding Aid URL","Opac url","Finding Aid URL","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7kcw","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7kcw-1-master.tif","1","","","","","","","","","","","","","manuscripts (document genre)","","","page 1","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kcw",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7kdd","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7kdd-1-master.tif","2","","","","","","","","","","","","","manuscripts (document genre)","","","page 2","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kdd",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7kk0","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7kk0-1-master.tif","3","","","","","","","","","","","","","manuscripts (document genre)","","","page 3","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kk0",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7kmh","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7kmh-1-master.tif","4","","","","","","","","","","","","","manuscripts (document genre)","","","page 4","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kmh",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7kpj","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7kpj-1-master.tif","5","","","","","","","","","","","","","manuscripts (document genre)","","","page 5","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kpj",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7kq2","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7kq2-1-master.tif","6","","","","","","","","","","","","","manuscripts (document genre)","","","page 6","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7kq2",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz000s7ks3","ark:/21198/zz000s7k9v","2","Completed","Page","orsini/masters/21198-zz000s7ks3-1-master.tif","7","","","","","","","","","","","","","manuscripts (document genre)","","","page 8","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7ks3",""
