"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Finding Aid URL","Opac url","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566j1","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566j1_1659285_master.tif","1","","","text","","","","","","","","","","","","","page 1","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566j1",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566kj","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566kj_1659299_master.tif","2","","","text","","","","","","","","","","","","","page 2","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566kj",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566m2","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566m2_1659316_master.tif","3","","","text","","","","","","","","","","","","","page 3","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566m2",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566nk","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566nk_1659334_master.tif","4","","","text","","","","","","","","","","","","","page 4","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566nk",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566p3","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566p3_1659346_master.tif","5","","","text","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566p3",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566qm","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566qm_1659358_master.tif","6","","","text","","","","","","","","","","","","","page 6","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566qm",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566r4","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566r4_1659378_master.tif","7","","","text","","","","","","","","","","","","","page 7","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566r4",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566sn","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566sn_1659391_master.tif","8","","","text","","","","","","","","","","","","","page 8","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566sn",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566t5","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566t5_1659399_master.tif","9","","","text","","","","","","","","","","","","","page 9","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566t5",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566vp","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566vp_1659407_master.tif","10","","","text","","","","","","","","","","","","","page 10","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566vp",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566w6","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566w6_1659416_master.tif","11","","","text","","","","","","","","","","","","","page 11","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566w6",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz002566xq","ark:/21198/zz002566hh","2","Completed","Page","orsini/masters/21198-zz002566xq_1659422_master.tif","12","","","text","","","","","","","","","","","","","page 12","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002566xq",""
