"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Name.subject","Name.creator","Subject","Type.genre","Relation.isPartOf","Name.repository","Title","Description.adminnote","Alt ID.local","AltTitle.translated","Coverage.geographic","Format.dimensions","Format.extent","Date.creation","Date.normalized","Description.abstract","Description.note","AltTitle.firstLine","AltTitle.descriptive","Finding Aid URL","Opac url","Alt ID.url","AltTitle.other","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w6h","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256w6h_1661923_master.tif","1","","","text","","","","","","","","","","","","","page 1","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w6h",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w71","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256w71_1661928_master.tif","2","","","text","","","","","","","","","","","","","page 2","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w71",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w8j","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256w8j_1661937_master.tif","3","","","text","","","","","","","","","","","","","page 3","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w8j",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256w92","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256w92_1661944_master.tif","4","","","text","","","","","","","","","","","","","page 4","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256w92",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wbk","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wbk_1661947_master.tif","5","","","text","","","","","","","","","","","","","page 5","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wbk",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wc3","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wc3_1661955_master.tif","6","","","text","","","","","","","","","","","","","page 6","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wc3",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wdm","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wdm_1661958_master.tif","7","","","text","","","","","","","","","","","","","page 7","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wdm",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wf4","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wf4_1661965_master.tif","8","","","text","","","","","","","","","","","","","page 8","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wf4",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wgn","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wgn_1661970_master.tif","9","","","text","","","","","","","","","","","","","page 9","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wgn",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wh5","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wh5_1661977_master.tif","10","","","text","","","","","","","","","","","","","page 10","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wh5",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wjp","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wjp_1661981_master.tif","11","","","text","","","","","","","","","","","","","page 11","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wjp",""
"Orsini Family Papers.  Collection 902","ark:/21198/zz00256wk6","ark:/21198/zz00256w50","2","Completed","Page","orsini/masters/21198-zz00256wk6_1661989_master.tif","12","","","text","","","","","","","","","","","","","page 12","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256wk6",""
