Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject,Rights.permission,Subject geographic,Author,Name.cartographer,Name.repository,Name.subject,Title,Date.creation,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,AltIdentifier.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle.uniform,Alt ID.local,Description.caption,Date.normalized,Alt ID.lccn,Description.abstract,Bucketeer State,IIIF Access URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75kn,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5552_P1_1M_IFE_1930.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Rio de Janeiro (Brazil)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mappa da Viacáo do Districto Federal e dos Estados do Rio de Janeiro,1930,,,,,Brazil,,,,,,,G5552_P1_1M_IFE_1930|~|DR730F3,,1930,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75m5,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5552_P3_500_CL_1898.tif,,,,,,,cartographic,map,unknown,unknown,,,por,Railroads--Brazil--Maps.,,Brazil--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Carta Das Linhas Ferreas da Companhia Leopoldina,1898,,,,,Brazil,,,,,,,G5552_P3_500_CL_1898|~|DR730F3,,1898,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75np,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5556_F7_400_CPQTES.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Sergipe (Brazil)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Estado de Sergipe,1938,,,,,Brazil,,,,,,,G5556_F7_400_CPQTES|~|DR730F3,,1938,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75p6,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5561_C2_P3_EP_1892.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mappa do Estado da Bahia,1892,,,,,Brazil,,,,,,,G5561_C2_P3_EP_1892|~|DR730F3,,1892,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75qq,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5561_F7_1m_cng_1945part1.tif,,,,,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G5561_F7_1m_cng_1945part1,,,,,,,,,,,,,G5561_F7_1m_cng_1945part1|~|DR730F3,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75r7,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5561_F7_1m_cng_1945part2.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Cartograma da Divisão Administrativa do Estado de Bahia,1945,,,,,Brazil,,,,,,,G5561_F7_1m_cng_1945part2|~|DR730F3,,1945,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75sr,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5561_J1_32M_EGWI_1913.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mappa do Estado da Bahia,1913,,,,,Brazil,,,,,,,G5561_J1_32M_EGWI_1913|~|DR730F3,,1913,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75t8,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5561_P2_2M_SAICVOP_1935.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Rodovias do Estado da Bahia,1935,,,,,Brazil,,,,,,,DR730F3|~|G5561_P2_2M_SAICVOP_1935,,1935,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75vs,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5561_P2_2M_SVOP.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Plano Rodoviario do Estado da Bahia,,,,,,Brazil,,,,,,,G5561_P2_2M_SVOP|~|DR730F3,,,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75w9,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5562_500_INOC_1912.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mappa da Baccia do Rio Itapicurú,1912,,,,,Brazil,,,,,,,G5562_500_INOC_1912|~|DR730F3,,1912,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75xt,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5562_500_MVOP_1913.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Bahia (Brazil : State)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Mapa Parcial do Estado da Bahia,1913,,,,,Brazil,,,,,,,G5562_500_MVOP_1913|~|DR730F3,,1913,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h75zb,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5570_1M_1923.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Belo Horizonte (Brazil)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Planta da Cidade de Bello Horizonte,1923,,,,,Brazil,,,,,,,G5570_1M_1923|~|DR730F3,,1923,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h760b,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5570_1M_19232.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Belo Horizonte (Brazil)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Planta da Cidade de Bello Horizonte,1923,,,,,Brazil,,,,,,,G5570_1M_19232|~|DR730F3,,1923,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h761v,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5570_500_DG_1944pt1.tif,,,,,,,cartographic,map,unknown,unknown,,,por,,,Minas Gerais (Brazil)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Estado de Minas Geràes,1944,,,,,Brazil,,,,,,,G5570_500_DG_1944pt1|~|DR730F3,,1944,,,failed,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002h762c,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/DR730F2/G5570_500_DG_1944pt2.tif,,,,private,,,cartographic,map,unknown,unknown,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,G5570_500_DG_1944pt2,,,,,,,,,,,,,G5570_500_DG_1944pt2|~|DR730F3,,,,,failed,
