Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence,Bucketeer State,Thumbmail,IIIF Access URL
ark:/21198/z1pp0zq0,ark:/21198/z1kw7c0b,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0003_0001.tif,Page,Page 1,1,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw7c0b
ark:/21198/z1pp0zq0,ark:/21198/z1g46m9c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0003_0002.tif,Page,Page 2,2,succeeded,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46m9c
