File Name,Item Sequence,Visibility,Title,IIIF Range,viewingHint,Text direction,Parent ARK,ark:/21198/n1qd0c/sw43zc5x,Object Type,Rights.statementLocal
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_001.tif,1,,Inside Front Cover,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/h008p740,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_002.tif,2,,Page 1,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/hq11sf52,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_003.tif,3,,Page 2,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/pp08t512,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_004.tif,4,,Page 3,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/r561km34,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_005.tif,5,,Page 4,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/m130cp0d,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_006.tif,6,,Page 5,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/t782tc9s,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_007.tif,7,,Page 6,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/sp936f14,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_008.tif,8,,Page 7,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/sm13n143,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_009.tif,9,,Page 8,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/cp48h463,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_010.tif,10,,Page 9,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/nr369p11,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_011.tif,11,,Page 10,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/rr78jz2d,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_012.tif,12,,Page 11,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/dx14801w,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_013.tif,13,,Page 12,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/zb31w08j,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_014.tif,14,,Page 13,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/zq12hq98,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_015.tif,15,,Page 14,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/5c072v0v,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_016.tif,16,,Page 15,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/rf63pv27,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_017.tif,17,,Page 16,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/z361dk5q,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_018.tif,18,,Page 17,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/k366wj5c,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_019.tif,19,,Page 18,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/m8574s4q,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_020.tif,20,,Page 19,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/kw38b18z,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_021.tif,21,,Page 20,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/b6006w3s,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_022.tif,22,,Page 21,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/s771nv2w,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_023.tif,23,,Page 22,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/wc64p29k,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_024.tif,24,,Page 23,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/ck25d84d,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_025.tif,25,,Page 24,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/bd72978m,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_026.tif,26,,Page 25,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/pv76649b,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_027.tif,27,,Page 26,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/sm345887,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_028.tif,28,,Page 27,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/6322kf8x,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_029.tif,29,,Page 28,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/wk08jp29,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_030.tif,30,,Page 29,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/s443cg78,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_031.tif,31,,Page 30,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/9061d66n,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_032.tif,32,,Page 31,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/bj85m03b,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_033.tif,33,,Page 32,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/sm99jb61,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_034.tif,34,,Page 33,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/zf11hg76,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_035.tif,35,,Page 34,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/sc574f15,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_036.tif,36,,Page 35,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/h882m226,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_037.tif,37,,Page 36,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/jm63x35t,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_038.tif,38,,Page 37,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/pw77w43t,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_039.tif,39,,Page 38,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/p2610p18,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_040.tif,40,,Page 39,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/md08cv5d,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_041.tif,41,,Page 40,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/g614hp1z,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_042.tif,42,,Page 41,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/r9598n03,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_043.tif,43,,Page 42,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/k545md98,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_044.tif,44,,Page 43,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/x5593c59,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_045.tif,45,,Page 44,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/c9031r31,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_046.tif,46,,Page 45,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/zj87847s,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_047.tif,47,,Page 46,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/6300vb66,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_048.tif,48,,Page 47,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/0884z11z,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_049.tif,49,,Page 48,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/t8850w1h,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_050.tif,50,,Page 49,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/bf04cv88,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_051.tif,51,,Page 50,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/px593d13,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_052.tif,52,,Page 51,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/kg43jz48,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_053.tif,53,,Page 52,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/vs11sh9q,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_054.tif,54,,Page 53,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/8366cz20,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_055.tif,55,,Page 54,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/k180cx3t,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_056.tif,56,,Page 55,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/1p96s798,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_057.tif,57,,Page 56,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/4827xc6b,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_058.tif,58,,Page 57,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/bb78jf46,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_059.tif,59,,Page 58,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/q4850297,Page,
Masters/othermasters/dl_toganoo/masters/3680022/ucla_3680022_060.tif,60,,Page 59,,,,ark:/21198/n1qd0c,ark:/21198/n1qd0c/0w01hz7n,Page,
