Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.publication,Date.creation,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001633g7,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gc9,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 1,Date.publication,"May, 1977",,1977-05,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001633g7/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175ghc,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175gvj,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 2,,"August, 1977",,1977-08,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175ghc/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gjw,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175h03,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 3,,"November, 1977",,1977-11,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175gjw/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gkd,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175h45,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 4,,"March, 1978",,1977-03,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175gkd/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gmx,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175h87,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 5-6,,"September, 1978",,1978-09,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175gmx/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175gnf,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175hjc,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 7,,1980,,1980,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175gnf/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175hrg,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175hs0,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 8,,1981,,1981,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175hrg/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175j2m,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175j55,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 9,,"April, 1982",,1982-04,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175j2m/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175j34,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175jf9,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 10,,"December, 1982",,1982-12,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175j34/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00175j4n,ark:/21198/zz000s2z4b,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00175jkc,paged,,,,text,copyrighted,published,Y,Women Against Violence Against Women--Periodical,Los Angeles (Calif.),Women Against Violence Against Women ,WAVAW: Women Against Violence Against Women [newsletter],,eng,,,,,,,,Newsletter No. 11,,"February, 1983",,1983-02,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00175j4n/manifest
