Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Alt ID.url
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001njph5,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001njph5_1317436_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Mosk House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25 cm,c1179_b847_f(3)_015,,,"Mosk House, street front looking towards Hollywood mountains, Los Angeles, California, 1933",1933,1 photographic print,1933,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk10p,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk10p_1421732_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Mosk House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 25.5 cm,c1179_b847_f(3)_016,,,"Mosk House, view of balcony, Los Angeles, California, 1933",1933,1 photographic print,1933,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk6x2,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk6x2_1422194_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Mosk House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",19 x 24 cm,c1179_b847_f(3)_033,,One-inch paper strip with three holes adhered to print.,"Mosk House, interior living area with fireplace, Los Angeles, California, 1933",1933,1 photographic print,1933,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk6zk,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk6zk_1422197_master.tif,,,,,"Dapprich, Fred R.",,,,,,Black-and-white photographs,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Mosk House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",22.5 x 27 cm,c1179_b847_f(3)_034,,Print adhered to linen paper with three holes along outer edge.,"Mosk House, interior living area with built-in bookcases, Los Angeles, California, 1933",1933,1 photographic print,1933,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk70k,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk70k_1422203_master.tif,,,,,"Mosk, Bertha",,,,,,letters (correspondence),,,,,"Neutra, Richard Joseph, $d 1892-1970",dwellings|~|Architecture--California--20th century,,,eng,"Mosk House (Los Angeles, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 28 cm,c1179_b847_f(3)_037,,"Letter to Richard J. Neutra from Bertha Mosk describing her experience living in a ""modern"" house.","Letter, 1938 January 26, Mrs. Bert Mosk to Richard Neutra, Los Angeles, Calif.","January 26, 1938",1 p.,1938-01-26,typescript on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk713,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk713_1422206_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Plans,,,California,,Luckhaus Studio,dwellings|~|Architecture--California--20th century,,,eng,"Mosk House (Los Angeles, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",18.5 x 25.5 cm,c1179_b847_f(3)_038,,,"Mosk House, plan, Los Angeles, California, 1933",1933,1 print adhered to paper,1933,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk72m,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk72m_1422211_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Mosk House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",8 x 23.5 cm,c1179_b847_f(3)_039,,,"Mosk House, street front looking towards Hollywood mountains, Los Angeles, California, 1933",1933,1 photographic print,1933,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nk734,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nk734_1438590_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,Idaho,,,dwellings|~|Architecture--California--20th century,,,eng,,Neutra and Alexander,"Johnson, Ansgar","Mountain Home Air Force Base Housing (Boise, Idaho)",,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20.5 x 25 cm,C1179_b847_f(4)_mt home # 022,,,"Mountain Home Air Force Base Housing, living room, Boise, Idaho, 1950-1960",Between 1950 and 1960,1 photographic print,1950/1960,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nqxtf,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nqxtf_1439216_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,Idaho,,,dwellings|~|Architecture--California--20th century,,,eng,"Mountain Home Air Force Base Housing (Boise, Idaho)",Neutra and Alexander,"Johnson, Ansgar",,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20.5 x 25 cm,C1179_b847_f(4)_mt home # 025,,,"Mountain Home Air Force Base Housing, bedroom, Boise, Idaho, 1950-1960",Between 1950 and 1960,1 photographic print,1950/1960,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nqzc6,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz001nqzc6_1439259_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,Idaho,,,dwellings|~|Architecture--California--20th century,,,eng,"Mountain Home Air Force Base Housing (Boise, Idaho)",Neutra and Alexander,"Johnson, Ansgar",,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20.5 x 25 cm,C1179_b847_f(4)_mt home # 026,,,"Mountain Home Air Force Base Housing, living area, Boise, Idaho, 1950-1960",Between 1950 and 1960,1 photographic print,1950/1960,b&w,,,,,
