Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Alt ID.url
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rkz0,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rkz0_737549_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",45 x 59.5 cm,uclamss_1179_f0938_050,,Title supplied by archivist.|~|Third revision to first floor plan.,"Von Sternberg House, floor plan, first floor, Northridge, California, 1935",1935,1 drawing,1935,graphite and colored pencil on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm00,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm00_737552_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",38 x 48 cm,uclamss_1179_f0938_051,,Minimal plan of second floor interior.|~|Title supplied by archivist.,"Von Sternberg House, floor plan, second floor, Northridge, California, 1935",1935,1 drawing,1935,pen and ink on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm1h,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm1h_737555_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",31.5 x 59 cm,uclamss_1179_f0938_052,,Title supplied by archivist.|~|Floor plan of basement and first floor of von Sternberg estate.,"Von Sternberg House, floor plan, basement details, Northridge, California, 1935",1935,1 drawing,1935,graphite on tracing paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm21,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm21_737558_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",30 x 42 cm,uclamss_1179_f0938_053,,Title supplied by archivist.,"Von Sternberg House, floor plan, second floor, roof and balcony, Northridge, California, 1935",1935,1 drawing,1935,graphite and colored pencil on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm3j,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm3j_737561_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",30 x 42 cm,uclamss_1179_f0938_054,,Title supplied by archivist.|~|Includes measurements and corrections.,"Von Sternberg House, floor plan, details and shading, Northridge, California, 1935",1935,1 drawing,1935,graphite and colored pencil on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm42,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm42_737576_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",30 x 42 cm,uclamss_1179_f0938_055,,"Details about garage roof, roof garden, and second story patios. Includes 3 column table that divides square footage by social, service, and private areas.|~|Title supplied by archivist.","Von Sternberg House, floor plan, second floor, patio and roof details, Northridge, California, 1935",1935,1 drawing,1935,graphite and colored pencil on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm5k,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm5k_737585_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",30 x 42 cm,uclamss_1179_f0938_056,,"Title supplied by archivist.|~|Includes square footage for social, private, and service areas.","Von Sternberg House, floor plan, details and shading, Northridge, California, 1935",1935,1 drawing,1935,graphite and colored pencil on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rm63,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rm63_737603_master.tif,,,,,,still image,,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",30 x 58 cm,uclamss_1179_f0938_057,,Title supplied by archivist.|~|Drawing contains corrections and details of decks.,"Von Sternberg House, floor plan, second floor and deck, Northridge, California, 1935","March 14, 1935",1 drawing,1935-03-14,graphite and colored pencil on paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rnzz,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rnzz_737618_master.tif,,,,,,still image,,,private,,Blueprints,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 30.5 cm,uclamss_1179_f0938_058,,Title supplied by archivist.|~|Verso contains architect's notes about materials and dimensions.,"Von Sternberg House, blueprint, mirror detail, Northridge, California, 1935","October 26, 1935",1 drawing,1935-10-26,blueprint paper,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019rp0z,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/21198-zz0019rp0z_737631_master.tif,,,,,,still image,,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",37 x 44.5 cm,uclamss_1179_f0938_059,,Title supplied by archivist.,"Von Sternberg House, floor plan, second floor, Northridge, California, 1935",1935,1 drawing,1935,,,,,,
