Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294ncg,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294ncg_1969239_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_beamcloseup,,,c1179_b836_f6-Lovell_beamcloseup,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294ncg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294ncg/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nd0,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nd0_1969242_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_bedroom,,,c1179_b836_f6-Lovell_bedroom,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nd0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nd0/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nfh,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nfh_1969378_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_stairs,,,c1179_b836_f6-Lovell_stairs,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nfh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nfh/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294ng1,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294ng1_1969197_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f5-Lovell_view from bushes-2,,,c1179_b836_f5-Lovell_view from bushes-2,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294ng1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294ng1/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nhj,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nhj_1969393_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_view from hill,,,c1179_b836_f6-Lovell_view from hill,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nhj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nhj/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nj2,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nj2_1969284_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_interior,,,c1179_b836_f6-Lovell_interior,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nj2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nj2/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nkk,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nkk_1969399_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_view of house,,,c1179_b836_f6-Lovell_view of house,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nkk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nkk/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nm3,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nm3_1969331_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_office,,,c1179_b836_f6-Lovell_office,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nm3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nm3/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294nnm,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294nnm_1969245_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_concretemixing,,,c1179_b836_f6-Lovell_concretemixing,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294nnm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294nnm/manifest
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz00294np4,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz00294np4_1969248_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b836_f6-Lovell_construction-2,,,c1179_b836_f6-Lovell_construction-2,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00294np4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00294np4/manifest
