Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Alt ID.url
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0p5g,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0p5g_1977884_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1851_r832_010,,,uclamss_1179_b1851_r832_010,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0p60,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0p60_1978076_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1747_r889_002,,,uclamss_1179_b1747_r889_002,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0p7h,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0p7h_1977946_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1851_r832_021,,,uclamss_1179_b1851_r832_021,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0p81,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0p81_1978099_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1745_r893_001,,,uclamss_1179_b1745_r893_001,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0p9j,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0p9j_1977846_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1851_r832_002,,,uclamss_1179_b1851_r832_002,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0pb2,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0pb2_1977887_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1851_r832_010b,,,uclamss_1179_b1851_r832_010b,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0pck,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0pck_1978066_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1735_r870_005,,,uclamss_1179_b1735_r870_005,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0pd3,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0pd3_1977976_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1851_r832_022,,,uclamss_1179_b1851_r832_022,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0pfm,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0pfm_1978017_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1855_r834_001,,,uclamss_1179_b1855_r834_001,,,,,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz002b0pg4,ark:/21198/zz0008b9tw,4,Derived,Work,neutra/masters/srgb/21198-zz002b0pg4_1977851_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,private,,,,,,,,,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclamss_1179_b1851_r832_003,,,uclamss_1179_b1851_r832_003,,,,,,,,,
