Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Alt ID.url
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf8s5,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf8s5_1309754_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,Luckhaus Studio,Office buildings|~|Architecture--California--20th century|~|Commercial buildings,,,,"Laemmle Building (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,C1179_b832_f6_tobacco shop 3,,,"Laemmle Building, tobacco shop, view of interior looking north, Los Angeles, California, 1932-1937",Between 1932 and 1937,1 photographic print,1932/1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf8tp,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf8tp_1309757_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,Office buildings|~|Architecture--California--20th century|~|Commercial buildings,,,,"Laemmle Building (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,C1179_b832_f6_tobacco shop 4,,,"Laemmle Building, tobacco shop, overhead view of interior looking south, Los Angeles, California, 1932-1937",Between 1932 and 1937,1 photographic print,1932/1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf8v6,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf8v6_1309762_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,C1179_b832_f7_landfair building,,,"Landfair Apartments, second floor interior, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf8wq,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf8wq_1309769_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_from up the street,,,"Landfair Apartments, street view of exterior, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf8x7,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf8x7_1309772_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_front entrances,,,"Landfair Apartments, northwest facade, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf8zr,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf8zr_1309775_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_garage front,,,"Landfair Apartments, garage, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf90r,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf90r_1309778_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_glued prints,,This image is composed of 2 prints glued together.,"Landfair Apartments, exterior looking east, Los Angeles, California, 1937",1937,2 photographic prints,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf918,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf918_1309781_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_inside apt,,,"Landfair Apartments, second floor interior, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf939,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf939_1309790_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_kitchen,,,"Landfair Apartments, kitchen, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001nf94t,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/21198-zz001nf94t_1309793_master.tif,,,,,,still image,,,,,Black-and-white photographs,,,California,,,apartment houses|~|Architecture--California--20th century,,,,"Landfair Apartments (Westwood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b832_f(7-Landfair)_landfair landscape,,,"Landfair Apartments, north facade, Los Angeles, California, 1937",1937,1 photographic print,1937,b&w,,,,,
