Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Thumbnail,Visibility,Type.typeOfResource,Language,Type.genre,Publisher.publisherName,Subject,Name.creator,Name.subject,Name.sponsor,Name.designer,AltTitle.other,Coverage.geographic,Description.note,Description.caption,Alt ID.local,Format.extent,Date.normalized,Date.creation,AltTitle.descriptive,Publisher.placeOfOrigin,Title,Format.dimensions,Opac url,IIIF Manifest URL
"Zionist Posters Promoting Israel to Diaspora Jews, 1940-1979",ark:/21198/zz002kcmqm,ark:/21198/zz002kck7w,2,Completed,Work,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kcmqm%2Ff417x25c,private,still image,eng|~|heb,posters,Jewish National Fund. $b Youth and Education Department,Tu bi-Shevat,"Eitan, Ora, $d 1940-",,,,"Tu B'shvat|~|Ḥag ha-Shavuʻot, Ḥag ha-Bikurim",Israel : local,"Poster depicts a collage of a girl with a bowl on her head. The bowl contains fruit, flowers, leaves, and grains, with a dove perched on top. The girl has black hair, cheeks stylized like orange flowers, a red and white polka dot neckerchief, and a white shirt. Background is gingham.|~|Verso of poster reads: Tu B'shvat.|~|Signed ""אורה איתן"" in upper right.","Jewish National Fund, Youth and Education Dept. 42 East 69th st. New York 21, N.Y.",uclalsc_2147_b1_f04_06,1 poster : col.,1970/1979,[1970s],Shavuoth - the harvest festival,New York (N.Y.),"חג השבועות, חג הבכורים = Shavuoth - the harvest festival",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kcmqm/manifest
"Zionist Posters Promoting Israel to Diaspora Jews, 1940-1979",ark:/21198/zz002kcndf,ark:/21198/zz002kck7w,2,Completed,Work,,,,,individuals,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kcndf%2F41981p47,private,still image|~|cartographic,eng,posters|~|maps,C.S. Hammond & Company.|~|Jewish National Fund,Israel $x History $y 1948-1967 $v Maps|~|Arab-Israeli conflict $y 1948-1967 $v Maps,"Manson, Josine",,,,,Israel : local,"Poster depicts a map of Israel, with international boundaries, armistice boundaries, Jewish cities, Jewish settlements, Arab cities, Arab villages, roads, railroads, rivers, and rivulets (wadis).|~|Relief shown by gradient tints.|~|Includes 2 inset maps: Jewish National Fund and other Jewish-owned lands in Israel; Industry & agriculture in Israel.|~|Includes index of cities and towns.|~|Scale 1:500,000.|~|Verso of poster reads ""map of Israel"" in blue ink.","Issued by the Jewish National Fund of America. New York N.Y.|~|C.S. Hammond & Co., N.Y.|~|Maps by Josine Manson",uclalsc_2147_b2_f01_01,1 poster : col.,1950,1950,,New York (N.Y.),Israel,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002kcndf/manifest
