"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Rights.rightsHolderContact","Language","Relation.isPartOf","Name.photographer","Subject","Name.subject","Name.creator","Name.repository","Title","Description.note","Alt ID.local","Format.dimensions","Format.extent","Date.creation","Date.normalized","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfw20","ark:/21198/zz001nfvxf","2","Completed","Page","rexroth/masters/21198-zz001nfw20_1311270_master.tif","2","","","text","","","","","","","","","","","","","","","","page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfw20"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfw3h","ark:/21198/zz001nfvxf","2","Completed","Page","rexroth/masters/21198-zz001nfw3h_1311273_master.tif","3","","","text","","","","","","","","","","","","","","","","page 3","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfw3h"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfw41","ark:/21198/zz001nfvxf","2","Completed","Page","rexroth/masters/21198-zz001nfw41_1311267_master.tif","1","","","text","","","","","","","","","","","","","","","","page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfw41"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfw62","ark:/21198/zz001nfw5j","2","Completed","Page","rexroth/masters/21198-zz001nfw62_1311279_master.tif","2","","","text","","","","","","","","","","","","","","","","postcard, back","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfw62"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfw7k","ark:/21198/zz001nfw5j","2","Completed","Page","rexroth/masters/21198-zz001nfw7k_1311276_master.tif","1","","","text","","","","","","","","","","","","","","","","postcard, front","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfw7k"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwb4","ark:/21198/zz001nfw9m","2","Completed","Page","rexroth/masters/21198-zz001nfwb4_1311285_master.tif","1","","","text","","","","","","","","","","","","","","","","page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwb4"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwcn","ark:/21198/zz001nfw9m","2","Completed","Page","rexroth/masters/21198-zz001nfwcn_1311288_master.tif","2","","","text","","","","","","","","","","","","","","","","page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwcn"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwfp","ark:/21198/zz001nfwd5","2","Completed","Page","rexroth/masters/21198-zz001nfwfp_1311297_master.tif","3","","","text","","","","","","","","","","","","","","","","page 3","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwfp"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwg6","ark:/21198/zz001nfwd5","2","Completed","Page","rexroth/masters/21198-zz001nfwg6_1311294_master.tif","2","","","text","","","","","","","","","","","","","","","","page 2","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwg6"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwhq","ark:/21198/zz001nfwd5","2","Completed","Page","rexroth/masters/21198-zz001nfwhq_1311291_master.tif","1","","","text","","","","","","","","","","","","","","","","page 1","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwhq"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwj7","ark:/21198/zz001nfwd5","2","Completed","Page","rexroth/masters/21198-zz001nfwj7_1311300_master.tif","4","","","text","","","","","","","","","","","","","","","","page 4","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwj7"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwm8","ark:/21198/zz001nfwkr","1","In progress","Page","rexroth/masters/21198-zz001nfwm8_1311303_master.tif","1","","","text","","","private","","","","","","","","","","","","","postcard, front","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwm8"
"Rexroth (Kenneth) Papers.  Collection 175","ark:/21198/zz001nfwns","ark:/21198/zz001nfwkr","1","In progress","Page","rexroth/masters/21198-zz001nfwns_1311306_master.tif","2","","","text","","","private","","","","","","","","","","","","","postcard, back","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfwns"
