"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Author","Name.printer","Subject","Editor","Title","AltIdentifier.local","Relation.rectoVerso","Description.note","Date.creation","Publisher.publisherName","Date.normalized","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shkr","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0015.tif","15","","","","","","","text","pd","","","","","","","Page 8","pasc_antiphonarium_1685_0015","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shkr"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shm8","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0016.tif","16","","","","","","","text","pd","","","","","","","Page 9","pasc_antiphonarium_1685_0016","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shm8"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shns","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0017.tif","17","","","","","","","text","pd","","","","","","","Page 10","pasc_antiphonarium_1685_0017","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shns"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shp9","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0018.tif","18","","","","","","","text","pd","","","","","","","Page 11","pasc_antiphonarium_1685_0018","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shp9"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shqt","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0019.tif","19","","","","","","","text","pd","","","","","","","Page 12","pasc_antiphonarium_1685_0019","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shqt"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shrb","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0020.tif","20","","","","","","","text","pd","","","","","","","Page 13","pasc_antiphonarium_1685_0020","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shrb"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shsv","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0021.tif","21","","","","","","","text","pd","","","","","","","Page 14","pasc_antiphonarium_1685_0021","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shsv"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shtc","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0022.tif","22","","","","","","","text","pd","","","","","","","Page 15","pasc_antiphonarium_1685_0022","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shtc"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shvw","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0023.tif","23","","","","","","","text","pd","","","","","","","Page 16","pasc_antiphonarium_1685_0023","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shvw"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028shwd","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0024.tif","24","","","","","","","text","pd","","","","","","","Page 17","pasc_antiphonarium_1685_0024","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028shwd"
