"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Author","Name.printer","Subject","Editor","Title","AltIdentifier.local","Relation.rectoVerso","Description.note","Date.creation","Publisher.publisherName","Date.normalized","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk9k","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0065.tif","65","","","","","","","text","pd","","","","","","","Page 58","pasc_antiphonarium_1685_0065","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk9k"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skb3","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0066.tif","66","","","","","","","text","pd","","","","","","","Page 59","pasc_antiphonarium_1685_0066","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skb3"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skcm","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0067.tif","67","","","","","","","text","pd","","","","","","","Page 60","pasc_antiphonarium_1685_0067","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skcm"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skd4","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0068.tif","68","","","","","","","text","pd","","","","","","","Page 61","pasc_antiphonarium_1685_0068","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skd4"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skfn","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0069.tif","69","","","","","","","text","pd","","","","","","","Page 62","pasc_antiphonarium_1685_0069","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skfn"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skg5","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0070.tif","70","","","","","","","text","pd","","","","","","","Page 63","pasc_antiphonarium_1685_0070","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skg5"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skhp","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0071.tif","71","","","","","","","text","pd","","","","","","","Page 64","pasc_antiphonarium_1685_0071","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skhp"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skj6","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0072.tif","72","","","","","","","text","pd","","","","","","","Page 65","pasc_antiphonarium_1685_0072","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skj6"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skkq","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0073.tif","73","","","","","","","text","pd","","","","","","","Page 66","pasc_antiphonarium_1685_0073","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skkq"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skm7","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0074.tif","74","","","","","","","text","pd","","","","","","","Page 67","pasc_antiphonarium_1685_0074","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skm7"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sknr","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0075.tif","75","","","","","","","text","pd","","","","","","","Page 68","pasc_antiphonarium_1685_0075","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sknr"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skp8","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0076.tif","76","","","","","","","text","pd","","","","","","","Page 69","pasc_antiphonarium_1685_0076","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skp8"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skqs","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0077.tif","77","","","","","","","text","pd","","","","","","","Page 70","pasc_antiphonarium_1685_0077","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skqs"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skr9","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0078.tif","78","","","","","","","text","pd","","","","","","","Page 71","pasc_antiphonarium_1685_0078","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skr9"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skst","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0079.tif","79","","","","","","","text","pd","","","","","","","Page 72","pasc_antiphonarium_1685_0079","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skst"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sktb","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0080.tif","80","","","","","","","text","pd","","","","","","","Page 73","pasc_antiphonarium_1685_0080","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sktb"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skvv","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0081.tif","81","","","","","","","text","pd","","","","","","","Page 74","pasc_antiphonarium_1685_0081","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skvv"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skwc","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0082.tif","82","","","","","","","text","pd","","","","","","","Page 75","pasc_antiphonarium_1685_0082","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skwc"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skxw","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0083.tif","83","","","","","","","text","pd","","","","","","","Page 76","pasc_antiphonarium_1685_0083","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skxw"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028skzd","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0084.tif","84","","","","","","","text","pd","","","","","","","Page 77","pasc_antiphonarium_1685_0084","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028skzd"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm0d","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0085.tif","85","","","","","","","text","pd","","","","","","","Page 78","pasc_antiphonarium_1685_0085","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm0d"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm1x","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0086.tif","86","","","","","","","text","pd","","","","","","","Page 79","pasc_antiphonarium_1685_0086","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm1x"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm2f","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0087.tif","87","","","","","","","text","pd","","","","","","","Page 80","pasc_antiphonarium_1685_0087","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm2f"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm3z","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0088.tif","88","","","","","","","text","pd","","","","","","","Page 81","pasc_antiphonarium_1685_0088","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm3z"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm4g","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0089.tif","89","","","","","","","text","pd","","","","","","","Page 82","pasc_antiphonarium_1685_0089","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm4g"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm50","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0090.tif","90","","","","","","","text","pd","","","","","","","Page 83","pasc_antiphonarium_1685_0090","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm50"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm6h","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0091.tif","91","","","","","","","text","pd","","","","","","","Page 84","pasc_antiphonarium_1685_0091","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm6h"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm71","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0092.tif","92","","","","","","","text","pd","","","","","","","Page 85","pasc_antiphonarium_1685_0092","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm71"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm8j","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0093.tif","93","","","","","","","text","pd","","","","","","","Page 86","pasc_antiphonarium_1685_0093","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm8j"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sm92","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0094.tif","94","","","","","","","text","pd","","","","","","","Page 87","pasc_antiphonarium_1685_0094","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sm92"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smbk","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0095.tif","95","","","","","","","text","pd","","","","","","","Page 88","pasc_antiphonarium_1685_0095","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smbk"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smc3","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0096.tif","96","","","","","","","text","pd","","","","","","","Page 89","pasc_antiphonarium_1685_0096","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smc3"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smdm","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0097.tif","97","","","","","","","text","pd","","","","","","","Page 90","pasc_antiphonarium_1685_0097","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smdm"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smf4","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0098.tif","98","","","","","","","text","pd","","","","","","","Page 91","pasc_antiphonarium_1685_0098","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smf4"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smgn","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0099.tif","99","","","","","","","text","pd","","","","","","","Page 92","pasc_antiphonarium_1685_0099","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smgn"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smh5","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0100.tif","100","","","","","","","text","pd","","","","","","","Page 93","pasc_antiphonarium_1685_0100","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smh5"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smjp","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0101.tif","101","","","","","","","text","pd","","","","","","","Page 94","pasc_antiphonarium_1685_0101","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smjp"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smk6","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0102.tif","102","","","","","","","text","pd","","","","","","","Page 95","pasc_antiphonarium_1685_0102","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smk6"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smmq","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0103.tif","103","","","","","","","text","pd","","","","","","","Page 96","pasc_antiphonarium_1685_0103","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smmq"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smn7","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0104.tif","104","","","","","","","text","pd","","","","","","","Page 97","pasc_antiphonarium_1685_0104","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smn7"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smpr","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0105.tif","105","","","","","","","text","pd","","","","","","","Page 98","pasc_antiphonarium_1685_0105","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smpr"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smq8","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0106.tif","106","","","","","","","text","pd","","","","","","","Page 99","pasc_antiphonarium_1685_0106","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smq8"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smrs","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0107.tif","107","","","","","","","text","pd","","","","","","","Page 100","pasc_antiphonarium_1685_0107","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smrs"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sms9","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0108.tif","108","","","","","","","text","pd","","","","","","","Page 101","pasc_antiphonarium_1685_0108","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sms9"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smtt","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0109.tif","109","","","","","","","text","pd","","","","","","","Page 102","pasc_antiphonarium_1685_0109","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smtt"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smvb","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0110.tif","110","","","","","","","text","pd","","","","","","","Page 103","pasc_antiphonarium_1685_0110","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smvb"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smwv","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0111.tif","111","","","","","","","text","pd","","","","","","","Page 104","pasc_antiphonarium_1685_0111","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smwv"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smxc","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0112.tif","112","","","","","","","text","pd","","","","","","","Page 105","pasc_antiphonarium_1685_0112","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smxc"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028smzw","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0113.tif","113","","","","","","","text","pd","","","","","","","Page 106","pasc_antiphonarium_1685_0113","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028smzw"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn0w","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0114.tif","114","","","","","","","text","pd","","","","","","","Page 107","pasc_antiphonarium_1685_0114","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn0w"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn1d","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0115.tif","115","","","","","","","text","pd","","","","","","","Page 108","pasc_antiphonarium_1685_0115","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn1d"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn2x","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0116.tif","116","","","","","","","text","pd","","","","","","","Page 109","pasc_antiphonarium_1685_0116","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn2x"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn3f","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0117.tif","117","","","","","","","text","pd","","","","","","","Page 110","pasc_antiphonarium_1685_0117","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn3f"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn4z","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0118.tif","118","","","","","","","text","pd","","","","","","","Page 111","pasc_antiphonarium_1685_0118","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn4z"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn5g","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0119.tif","119","","","","","","","text","pd","","","","","","","Page 112","pasc_antiphonarium_1685_0119","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn5g"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn60","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0120.tif","120","","","","","","","text","pd","","","","","","","Page 113","pasc_antiphonarium_1685_0120","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn60"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn7h","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0121.tif","121","","","","","","","text","pd","","","","","","","Page 114","pasc_antiphonarium_1685_0121","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn7h"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn81","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0122.tif","122","","","","","","","text","pd","","","","","","","Page 115","pasc_antiphonarium_1685_0122","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn81"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sn9j","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0123.tif","123","","","","","","","text","pd","","","","","","","Page 116","pasc_antiphonarium_1685_0123","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sn9j"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snb2","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0124.tif","124","","","","","","","text","pd","","","","","","","Page 117","pasc_antiphonarium_1685_0124","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snb2"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snck","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0125.tif","125","","","","","","","text","pd","","","","","","","Page 118","pasc_antiphonarium_1685_0125","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snck"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snd3","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0126.tif","126","","","","","","","text","pd","","","","","","","Page 119","pasc_antiphonarium_1685_0126","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snd3"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snfm","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0127.tif","127","","","","","","","text","pd","","","","","","","Page 120","pasc_antiphonarium_1685_0127","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snfm"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sng4","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0128.tif","128","","","","","","","text","pd","","","","","","","Page 121","pasc_antiphonarium_1685_0128","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sng4"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snhn","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0129.tif","129","","","","","","","text","pd","","","","","","","Page 122","pasc_antiphonarium_1685_0129","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snhn"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snj5","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0130.tif","130","","","","","","","text","pd","","","","","","","Page 123","pasc_antiphonarium_1685_0130","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snj5"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snkp","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0131.tif","131","","","","","","","text","pd","","","","","","","Page 124","pasc_antiphonarium_1685_0131","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snkp"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028snm6","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0132.tif","132","","","","","","","text","pd","","","","","","","Page 125","pasc_antiphonarium_1685_0132","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028snm6"
