Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,IIIF Manifest URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001793gb,ark:/21198/zz000s2z4b,2,Completed,Work,,1,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001793kw,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW)|~|Violence in mass media|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Never Another Season of Silence - Press Release,"June, 1978",,,1978-06,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001793gb/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001793md,ark:/21198/zz000s2z4b,2,Completed,Work,,2,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001793nx,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW)|~|Violence in mass media|~|Sex in mass media|~|Sex role in advertising|~|Sex in advertising,,eng,,,,,,,,Never Another Season of Silence - Flyer,"June, 1978",,,1978-06,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001793md/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001793pf,ark:/21198/zz000s2z4b,2,Completed,Work,,3,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001793th,individuals,,,,text,copyrighted,unpublished,Y,"Women Against Violence Against Women |~|Near, Holly",Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Holly Near Benefit Concert - Press Release,"March 5, 1980",,,1980-03-05,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001793pf/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001793v1,ark:/21198/zz000s2z4b,2,Completed,Work,,4,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001793wj,individuals,,,,text,copyrighted,unpublished,Y,"Women Against Violence Against Women |~|Near, Holly",Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Holly Near Benefit Concert - Letter of Invitation,"March, 1980",,,1980-03,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001793v1/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001793x2,ark:/21198/zz000s2z4b,2,Completed,Work,,5,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001793zk,individuals,,,,text,copyrighted,unpublished,Y,"Women Against Violence Against Women |~|Near, Holly|~|Redwood Records",Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Holly Near Benefit Concert - Redwood Records Letter of Invitation,"February, 1980",,,1980-02,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001793x2/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017942m,ark:/21198/zz000s2z4b,2,Completed,Work,,6,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179434,individuals,,,,text,copyrighted,unpublished,Y,"Women Against Violence Against Women |~|Near, Holly|~|Redwood Records",Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Holly Near Benefit Concert - Flyer,"March, 1980",,,1980-03,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017942m/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz0017944n,ark:/21198/zz000s2z4b,2,Completed,Work,,7,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00179455,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Festival of Performing Arts Benefit - Flyer,1982-05,,,"May, 1982",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017944n/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00179476,ark:/21198/zz000s2z4b,2,Completed,Work,,8,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017948q,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Festival of Performing Arts Benefit - Program,1982-05-21,,,"May 21, 1982",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00179476/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001794c8,ark:/21198/zz000s2z4b,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001794ds,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Festival of Performing Arts Benefit - Flyer,1982-05-21,,,"May 21, 1982",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001794c8/manifest
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz001794f9,ark:/21198/zz000s2z4b,2,Completed,Work,,10,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001794gt,individuals,,,,text,copyrighted,unpublished,Y,Women Against Violence Against Women ,Los Angeles (Calif.),Women Against Violence Against Women ,Community Events (WAVAW),,eng,,,,,,,,Feminist Resistance Event: Tactics for Survival - Flyer,1982-06,,,"June, 1982",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001794f9/manifest
