==> 21198zz00177jdp_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,Bucketeer State,IIIF Access URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jf6,ark:/21198/zz00177jdp,2,Completed,Page,wavav/images/masters/21198-zz00177jf6_498491_master.tif,1,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177jf6

==> 21198zz00177jh7_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,Bucketeer State,IIIF Access URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jjr,ark:/21198/zz00177jh7,2,Completed,Page,wavav/images/masters/21198-zz00177jjr_498500_master.tif,1,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177jjr

==> 21198zz00177jrv_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.permission,Name.subject,Coverage.geographic,Name.creator,Subject,Rights.publicationNote,Language,Type.genre,Author,Name.contributor,Name.correspondent,Name.repository,Rights.permissionNote,Name.photographer,Title,Date.creation,Date.publication,Description.note,Date.normalized,Description.caption,Description.abstract,Bucketeer State,IIIF Access URL
Women Against Violence Against Women (WAVAW) Collection,ark:/21198/zz00177jsc,ark:/21198/zz00177jrv,2,Completed,Page,wavav/images/masters/21198-zz00177jsc_498533_master.tif,1,,,,,,,,,copyrighted,,,,,,,,,,,,,,,,Page 1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00177jsc
